county_fips,median_hh_income,pct_bachelors_plus,pct_poverty
13177,89168,34.1,5.7
13179,60456,20.5,15.3
13181,56907,15.5,17.0
13183,68808,13.3,17.3
13185,58541,27.9,19.2
13187,77448,31.6,14.1
13189,56733,17.8,20.3
13191,50273,20.0,23.0
13193,41031,11.0,25.1
13195,61963,21.1,17.2
13197,51667,17.7,20.9
13199,57340,14.5,18.9
13201,51425,21.3,23.8
13205,57613,14.3,23.4
13207,83183,27.0,12.3
13209,51941,19.9,20.6
13211,78111,29.7,8.8
13213,69253,15.0,14.4
13215,58073,30.5,19.0
13217,77179,25.0,12.3
13219,121217,55.9,6.2
13221,75034,25.3,11.6
13223,98031,29.5,6.6
13225,71293,22.8,17.3
13227,78930,26.7,12.0
13229,60517,20.2,13.8
13231,86719,21.5,9.3
13233,58515,15.4,16.4
13235,50406,14.5,16.5
13237,72096,31.1,17.6
13239,40179,12.4,15.7
13241,67493,31.3,13.1
13243,28380,16.4,30.0
13245,55637,24.5,20.0
13247,77247,32.4,10.8
13249,56875,22.2,13.9
13251,52792,14.7,17.2
13253,49495,13.4,20.1
13255,62071,18.5,18.9
13257,54754,15.1,15.8
13259,33250,12.7,26.4
13261,42653,21.4,23.7
13263,41597,12.1,25.2
13265,52500,12.0,20.4
13267,50747,15.4,23.4
13269,41788,17.5,32.1
13271,50929,10.1,24.1
13273,46171,13.1,33.3
13275,60736,22.7,17.9
13277,53255,21.0,20.8
13279,52621,18.4,22.5
13281,59135,31.0,13.3
13283,55518,11.9,13.8
13285,56776,23.8,16.9
13287,36799,9.8,20.3
13289,56324,10.5,18.2
13291,66176,26.9,10.9
13293,55429,15.5,19.3
13295,59469,21.3,13.3
13297,84945,24.5,11.9
13299,47448,14.4,21.5
13301,44289,12.3,21.4
13303,46023,16.9,17.2
13305,53427,16.2,21.3
13307,46792,8.9,22.3
13309,40539,10.0,32.7
13311,70666,24.0,12.4
13313,67070,20.2,14.8
13315,54138,15.4,21.9
13317,52043,16.9,17.8
13319,45465,12.3,21.6
13321,58694,11.7,24.0
15001,78639,31.4,14.9
15003,106195,38.5,9.2
15005,73750,22.4,22.7
15007,97668,30.1,9.1
15009,97161,31.0,9.2
16001,91502,44.6,8.3
16003,61808,21.6,17.9
16005,66499,30.6,12.3
16007,75260,21.6,7.0
16009,59794,19.7,12.9
16011,77878,21.8,11.7
16013,92566,48.0,6.6
16015,78774,31.2,7.7
16017,66979,28.6,11.1
16019,79068,33.1,9.8
16021,67237,24.0,13.6
16023,53015,17.5,19.3
16025,57955,34.4,5.9
16027,76488,23.2,10.5
16029,68782,16.8,9.2
16031,70830,21.3,12.4
16033,55208,20.5,11.7
16035,60000,17.5,13.2
16037,67574,29.3,15.8
16039,65359,22.4,10.5
16041,71950,23.9,7.9
16043,72683,22.8,10.1
16045,64605,20.7,12.0
16047,63559,16.2,13.0
16049,66325,22.6,11.1
16051,86679,27.4,9.7
16053,71724,14.0,12.6
16055,81861,30.0,9.0
16057,65424,43.0,17.6
16059,53202,24.1,12.8
16061,51615,21.3,15.3
16063,71453,11.1,10.5
16065,60160,41.8,24.5
16067,70377,15.7,14.5
16069,72599,27.1,12.2
16071,74954,26.7,10.8
16073,64406,12.4,12.2
16075,67673,17.3,10.2
16077,61146,15.3,9.5
16079,55527,12.7,13.1
16081,99805,49.9,9.1
16083,67409,23.5,11.5
16085,76078,40.1,11.7
16087,54000,20.6,15.3
17001,66220,27.5,12.8
17003,47043,12.6,19.0
17005,65959,21.6,10.9
17007,84571,23.6,9.9
17009,67917,12.6,9.2
17011,69257,21.7,10.8
17013,93203,20.1,6.3
17015,60758,17.8,14.2
17017,68125,20.8,11.1
17019,63683,46.2,19.1
17021,62611,17.1,10.2
17023,72927,24.9,9.1
17025,60417,13.1,17.5
17027,86588,25.9,7.4
17029,56478,26.9,18.7
17031,83498,42.7,13.5
17033,71674,20.6,12.1
17035,73327,19.6,9.1
17037,70724,33.0,14.8
17039,71678,23.2,10.0
17041,77320,20.9,8.5
17043,112096,51.8,6.6
