_orig_row,GUID,CEEB,Name,Region,City,sector,n12,leaid7,C_ap_opportunity,C_ap_performance,C_advanced_access,C_ib,C_stem_depth,C_test_performance,C_test_participation,C_college_placement,C_faculty_investment,rigor_score_v5,rigor_tier_num_v5,rigor_tier_label_v5,rigor_tier_num_v5_quantile,rigor_tier_label_v5_quantile,rigor_score_v5_sector,rigor_tier_num_v5_sector,rigor_tier_label_v5_sector,rigor_expected_ses,rigor_residual_v5,overperformer_v5,n_components,weight_covered,components_available,rigor_weighting_scheme_v5,rigor_tier_method_v5,rigor_score_v5_raw,below_coverage_floor,qd,ib_int,stem_breadth,pct_college,pct_certified,instr_spend_per_pupil,sat_score,ap_score,grad,poverty
37034,2a05f944-2215-498f-8524-07cd1ef3deeb,210720,Southern High School,MD,Harwood,public,,2400060,0.4517021536842022,0.7553480921935104,-0.021103961333573173,-0.17503127158841358,,-0.0698346789963096,0.15535010253384499,-0.45640408944040617,0.45248239580884875,0.19860806883598509,3.0,Demanding,4.0,Very Demanding,0.5816663925128216,4.0,Very Demanding,0.05797507497548715,0.14063299386049793,False,8,0.9,"ap_opportunity,ap_performance,advanced_access,ib,test_performance,test_participation,college_placement,faculty_investment",designed_v5,jenks_natural_breaks_k5,0.19860806883598509,False,2.341676182110887,0.0,,63.0,,11970.561733810731,1140.0,2.61,93.0,7.3
37035,8e830f16-457b-4ecc-b974-373fa5da611c,181620,Southern High School,KY,Louisville,public,,2102990,-0.8243834383946449,-0.9625552172984285,-0.8610830078271396,-0.17503127158841358,,-0.5323900905351079,-0.1559604590455742,-1.0457268001785505,-0.10122301458558804,-0.7054869948749465,1.0,Below Average,1.0,Below Average,-1.0796177570084324,2.0,Average,-0.24343328581542,-0.4620537090595265,False,8,0.9,"ap_opportunity,ap_performance,advanced_access,ib,test_performance,test_participation,college_placement,faculty_investment",designed_v5,jenks_natural_breaks_k5,-0.7054869948749465,False,0.4815076679239152,0.0,,38.0,,9906.1428586499,1110.0,1.59,84.0,18.6
37036,824740d6-aad6-46ac-8b72-c3612d3368b4,525100,Southern High School,GU,Agat,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,,designed_v5,jenks_natural_breaks_k5,,False,,,,,,,,,,
37037,f82be39c-c5c8-4b53-b1fc-e9d861b2d755,282580,Southern High School,NE,Wymore,public,317718001632,3177180,,,0.05879308545845264,-0.17503127158841358,0.7621916886736692,,3.328066095302391,0.05273632298817261,-0.039465518496477156,0.5401123888286765,4.0,Very Demanding,5.0,Most Demanding,1.2091841575896676,4.0,Very Demanding,-0.05348411747621784,0.5935965063048944,False,6,0.45,"advanced_access,ib,stem_depth,test_participation,college_placement,faculty_investment",designed_v5,jenks_natural_breaks_k5,0.5401123888286765,False,,0.0,4.0,63.0,94.7,10352.941176470587,,,90.0,9.5
37038,0278498e-0bb0-4bd9-86ed-7d93cf076d75,362293,Southern Hills Career And Tech,OH,Georgetown,public,390507904052,3905079,,,-0.8223924410359774,-0.17503127158841358,-0.03167262229722768,,1.7013262462897372,,0.07964964677771652,-0.01459792931248147,3.0,Demanding,3.0,Demanding,0.18989813768674157,3.0,Demanding,-0.1888060937278878,0.17420816441540635,False,5,0.35,"advanced_access,ib,stem_depth,test_participation,faculty_investment",designed_v5,jenks_natural_breaks_k5,-0.01459792931248147,False,,0.0,3.0,,100.0,9184.855233853006,,,,20.3
37039,89b07d17-196b-4231-be29-db7a0847088f,144050,Southern HS,IL,Stronghurst,,,,,,,,,,,0.05273632298817261,,,,,,,,,,,,False,1,0.1,college_placement,designed_v5,jenks_natural_breaks_k5,0.05273632298817261,True,,,,63.0,,,,,,
37040,fdce777b-7c88-429c-9f37-fbb56de091a8,210210,Southern HS,MD,Baltimore,,,,,,,,,,,-2.166159185808608,,,,,,,,,,,,False,1,0.1,college_placement,designed_v5,jenks_natural_breaks_k5,-2.166159185808608,True,,,,12.5,,,,,,
37041,7e57aec3-1fa4-41bc-a338-ab33a95dc077,393120,Southern Huntingdon Co H/M Sch,PA,Three Springs,public,422232002313,4222320,-0.8523226054455217,-0.9228381684073872,0.2280256236747411,-0.17503127158841358,0.7621916886736692,,-0.9974471066154877,-1.0457268001785505,0.1725422550713992,-0.45995472429743095,2.0,Average,2.0,Average,-0.6284496379921242,2.0,Average,-0.07659901099546307,-0.3833557133019679,False,8,0.8,"ap_opportunity,ap_performance,advanced_access,ib,stem_depth,test_participation,college_placement,faculty_investment",designed_v5,jenks_natural_breaks_k5,-0.45995472429743095,False,0.5245138158341777,0.0,4.0,38.0,100.0,9877.531340405014,,1.9,87.0,12.8
37044,213f98bf-18b1-4dc3-ba4c-c191c5cde68b,231428,Southern Lakes Career Academy,MI,Linden,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,,designed_v5,jenks_natural_breaks_k5,,False,,,,,,,,,,
37045,af5a5a80-3b51-45e5-bc7d-2b8dee56663e,343524,Southern Lee High School,NC,Sanford,public,,3702560,-0.34929785608780545,-0.7328112832856614,-0.635399419179316,-0.17503127158841358,,,-0.5693788507294131,-1.8240253094513619,-0.5577730086817722,-0.7285836635476441,1.0,Below Average,1.0,Below Average,-1.122058127620792,2.0,Average,-0.5776208612921445,-0.15096280225549963,False,7,0.7,"ap_opportunity,ap_performance,advanced_access,ib,test_participation,college_placement,faculty_investment",designed_v5,jenks_natural_breaks_k5,-0.7285836635476441,False,0.7302774502595631,0.0,,,,8203.955364048172,,2.11,90.0,18.6
37046,fc206422-3709-4068-898e-f5c3385aef9a,390830,Southern Lehigh High School,PA,Center Valley,public,422235002839,4222350,0.1800932313051103,1.1198773946129839,-0.08062705493083244,-0.17503127158841358,0.7621916886736692,0.23853559536288924,0.2369843187681444,-0.027163685649217843,0.565055081834621,0.39548708395102067,4.0,Very Demanding,5.0,Most Demanding,0.9434336449978319,4.0,Very Demanding,0.28305327542491243,0.11243380852610824,False,9,1.0,"ap_opportunity,ap_performance,advanced_access,ib,stem_depth,test_performance,test_participation,college_placement,faculty_investment",designed_v5,jenks_natural_breaks_k5,0.39548708395102067,False,2.736393351064817,0.0,4.0,63.0,100.0,12804.397768296685,1160.0,3.86,92.0,14.0
37047,d8031e17-eb2f-4edc-98a6-e76cd72e8616,364320,Southern Local High School,OH,Racine,public,390485303295,3904853,0.23089462444525294,-1.0611373512012772,-0.7875665528579496,-0.17503127158841358,0.7621916886736692,-0.0698346789963096,0.33240295003002535,,0.026768046690824582,-0.20543412503837297,3.0,Demanding,3.0,Demanding,-0.16076537087514675,3.0,Demanding,-0.10278681087926322,-0.10264731415910974,False,8,0.9000000000000001,"ap_opportunity,ap_performance,advanced_access,ib,stem_depth,test_performance,test_participation,faculty_investment",designed_v5,jenks_natural_breaks_k5,-0.20543412503837297,False,0.3747616243403118,0.0,4.0,,100.0,8790.530846484935,1140.0,1.63,95.0,20.0
37048,19908f00-a9df-4d63-9abe-7baffda5d765,364565,Southern Local Jr-Sr HS,OH,Salineville,public,,3904644,,,-0.24745647666247084,-0.17503127158841358,,,0.16912942976016043,-1.0457268001785505,-0.1156059398195759,-0.3868391907614102,2.0,Average,2.0,Average,-0.4940990792703287,2.0,Average,-0.12563060330901354,-0.26120858745239667,False,5,0.35000000000000003,"advanced_access,ib,test_participation,college_placement,faculty_investment",designed_v5,jenks_natural_breaks_k5,-0.3868391907614102,False,,0.0,,38.0,,9852.51798561151,,,95.0,19.8
37050,e4533a44-8775-402b-9b81-07be6055b243,211058,Southern Maryland Chrstn Acad,MD,White Plains,private,,,-1.0057217342167593,-1.0487965162908648,,,,,-0.17061217710886697,,,-0.9228704306153255,1.0,Below Average,1.0,Below Average,-1.8476115721399597,1.0,Below Average,,,False,3,0.39999999999999997,"ap_opportunity,ap_performance,test_participation",designed_v5,jenks_natural_breaks_k5,-0.9228704306153255,False,0.38812444424541914,,,,,,,1.89,,
37051,2bfeb202-ed57-4a46-30c7-9d7723dab4db,230291,Southern Michigan Center For S,MI,Hudson,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,,designed_v5,jenks_natural_breaks_k5,,False,,,,,,,,,,
37052,8751a254-835b-4ddd-af96-651503906c39,262672,Southern Missouri Christian SC,MO,Poplar Bluff,private,,,,,,,,,,1.4367998581782437,,,,,,,,,,,,False,1,0.1,college_placement,designed_v5,jenks_natural_breaks_k5,1.4367998581782437,True,,,,94.5,,,,,,
37053,9d300200-9de0-4132-b8df-cb2302ec86e2,340215,Southern Nash Senior HS,NC,Bailey,public,370327001354,3703270,0.573560814491187,-0.3689648510015743,-0.7883461327573169,-0.17503127158841358,0.7621916886736692,,-0.7190679941253675,-1.0457268001785505,-0.6600957610919973,-0.21582090474143195,2.0,Average,3.0,Demanding,-0.17985118737594127,3.0,Demanding,-0.5709359790706612,0.35511507432922923,False,8,0.8,"ap_opportunity,ap_performance,advanced_access,ib,stem_depth,test_participation,college_placement,faculty_investment",designed_v5,jenks_natural_breaks_k5,-0.21582090474143195,False,1.1242551983636084,0.0,4.0,38.0,89.8,7626.1669412410765,,2.75,89.0,18.6
37054,b6a508c5-2497-4b4d-ac67-1563b208622f,010500,Southern Normal HS,AL,Brewton,private,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,,designed_v5,jenks_natural_breaks_k5,,False,,,,,,,,,,
37055,5d5a3957-2627-d5ba-46a8-70e08759f299,365286,Southern Ohio Academy,OH,Lucasville,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,,designed_v5,jenks_natural_breaks_k5,,False,,,,,,,,,,
37057,948f050a-144e-5356-e3b0-249855acfba4,370189,Southern Oklahoma Tech Center,OK,Ardmore,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,,designed_v5,jenks_natural_breaks_k5,,False,,,,,,,,,,
37059,e46779e4-1a6b-c865-3ba3-38e276c9cea5,060177,Southern Peaks Regional Treatm,CO,Canon City,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,,designed_v5,jenks_natural_breaks_k5,,False,,,,,,,,,,
37061,091cdb57-6913-47f2-99b3-67897051150d,310743,Southern Regional High School,NJ,Manahawkin,public,341548004710,3415480,0.010052723258644581,0.1781627704485833,0.45983752305584463,-0.17503127158841358,0.7621916886736692,0.3927207325424887,-0.08381785594003434,-0.45640408944040617,1.0464298747057135,0.2316261586747851,3.0,Demanding,4.0,Very Demanding,0.6423374784399154,4.0,Very Demanding,0.18630688815459162,0.045319270520193466,False,9,1.0,"ap_opportunity,ap_performance,advanced_access,ib,stem_depth,test_performance,test_participation,college_placement,faculty_investment",designed_v5,jenks_natural_breaks_k5,0.2316261586747851,False,1.7166922517415344,0.0,4.0,63.0,98.0,17169.84592809978,1170.0,2.94,88.0,11.9
37062,4f3ede73-28e4-4b1f-9c07-d7f4e2fb00d3,260945,Southern Reynolds Co R-Ii H S,MO,Ellington,public,,2928590,,,0.24683399680798032,-0.17503127158841358,,,0.06704791906944542,1.4367998581782437,-0.7222284400861143,0.36243655962390936,4.0,Very Demanding,4.0,Very Demanding,0.8827029603587307,4.0,Very Demanding,-0.2102389166520745,0.5726754762759838,False,5,0.35000000000000003,"advanced_access,ib,test_participation,college_placement,faculty_investment",designed_v5,jenks_natural_breaks_k5,0.36243655962390936,False,,0.0,,94.5,,7590.80459770115,,,90.0,24.5
37063,8285cb57-5f49-4d00-a295-3232434791a2,341088,Southern School Energy/Sustain,NC,Durham,public,370256002781,3701260,-0.32057279656933896,-1.0284379760869689,-0.9519800771591527,-0.17503127158841358,0.7621916886736692,,-0.827507720949655,0.05273632298817261,0.13036206081528223,-0.38885945979833125,2.0,Average,2.0,Average,-0.49781134478699857,2.0,Average,-0.5527625067529489,0.16390304695461766,False,8,0.8,"ap_opportunity,ap_performance,advanced_access,ib,stem_depth,test_participation,college_placement,faculty_investment",designed_v5,jenks_natural_breaks_k5,-0.38885945979833125,False,0.4101689419030299,0.0,4.0,63.0,100.0,9563.004563004562,,1.61,88.0,15.0
37065,7e8dbdd5-b07d-46e5-a64c-e1af667ddc07,050376,Southern Trinity High School,CA,Mad River,,,,,,,,,,0.20894812870156101,-1.0457268001785505,,,,,,,,,,,,False,2,0.15000000000000002,"test_participation,college_placement",designed_v5,jenks_natural_breaks_k5,-0.6275018238851799,True,,,,38.0,,,,,,
37070,ab5ca545-ae8c-4028-ad2c-9bdbb76520e4,190200,Southern University Lab School,LA,Baton Rouge,,,,-0.8566249792167536,-1.2354034949839436,,,,-1.6116860507923039,,,,-1.2689302837050227,1.0,Below Average,1.0,Below Average,,,,-0.17886632407327963,-1.0900639596317432,False,3,0.55,"ap_opportunity,ap_performance,test_performance",designed_v5,jenks_natural_breaks_k5,-1.2689302837050227,False,0.18606392991118473,,,,,,1040.0,1.17,,
37072,d36f1579-49a5-4d4e-8674-d001eda64b70,281830,Southern Valley Junior-Senior,NE,Oxford,public,310010901464,3100109,,,0.3034882853790398,-0.17503127158841358,-0.03167262229722768,,0.20891995681584516,-1.0457268001785505,0.45042382138092973,-0.11816775195390171,3.0,Demanding,3.0,Demanding,-0.00041249625996885324,3.0,Demanding,-0.10386945911208822,-0.014298292841813484,False,6,0.45,"advanced_access,ib,stem_depth,test_participation,college_placement,faculty_investment",designed_v5,jenks_natural_breaks_k5,-0.11816775195390171,False,,0.0,3.0,38.0,100.0,11949.62216624685,,,90.0,15.5
37073,08ce1fa5-73f4-453a-9989-fa5f3dee9817,341777,Southern Vance High School,NC,Henderson,,,,,,,,,,,-1.0457268001785505,,,,,,,,,,,,False,1,0.1,college_placement,designed_v5,jenks_natural_breaks_k5,-1.0457268001785505,True,,,,38.0,,,,,,
37075,c2534372-a1d6-48ea-bf37-7e82c6b8977a,005625,Southern Virginia University,VA,Buena Vista,private,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,,designed_v5,jenks_natural_breaks_k5,,False,,,,,,,,,,
