total_population,fips_state,fips_distid,district_name,state_abbr,child_poverty_estimate,child_population_5_17,leaid,pct_child_poverty
3140,5,2820,Bay School District,AR,100,592,0502820,16.89
2827,5,32,Bearden School District,AR,81,488,0500032,16.6
19016,5,2880,Beebe School District,AR,590,3513,0502880,16.79
34012,5,2960,Benton School District,AR,675,6184,0502960,10.92
125028,5,3060,Bentonville Public Schools,AR,1186,23493,0503060,5.05
5255,5,3090,Bergman School District,AR,142,997,0503090,14.24
11286,5,3150,Berryville Public Schools,AR,455,2064,0503150,22.04
6486,5,3240,Bismarck Public Schools,AR,154,979,0503240,15.73
3103,5,3300,Blevins School District,AR,164,526,0503300,31.18
13655,5,3320,Blytheville School District,AR,803,2570,0503320,31.25
7543,5,3450,Booneville School District,AR,273,1258,0503450,21.7
2692,5,3480,Bradford School District,AR,100,482,0503480,20.75
3487,5,3630,Brinkley School District,AR,267,608,0503630,43.91
13282,5,3640,Brookland School District,AR,303,2744,0503640,11.04
59712,5,3690,Bryant Public Schools,AR,1169,11127,0503690,10.51
4616,5,3710,Buffalo Island Central School District,AR,113,814,0503710,13.88
57005,5,3750,Cabot Public Schools,AR,1075,10826,0503750,9.93
3366,5,3770,Caddo Hills School District,AR,160,535,0503770,29.91
3842,5,3840,Calico Rock School District,AR,79,363,0503840,21.76
16314,5,6060,Camden Fairview School District,AR,670,2582,0506060,25.95
4010,5,3960,Carlisle School District,AR,86,636,0503960,13.52
8593,5,4050,Cave City School District,AR,294,1439,0504050,20.43
5467,5,70,Cedar Ridge School District,AR,169,1019,0500070,16.58
4899,5,4080,Cedarville School District,AR,114,795,0504080,14.34
5115,5,6690,Centerpoint School District,AR,195,967,0506690,20.17
5010,5,4200,Charleston School District,AR,97,888,0504200,10.92
3003,5,4350,Clarendon School District,AR,131,497,0504350,26.36
14694,5,4380,Clarksville School District,AR,609,2687,0504380,22.66
4542,5,67,Cleveland County School District,AR,133,704,0500067,18.89
8484,5,4410,Clinton School District,AR,275,1300,0504410,21.15
4196,5,4560,Concord Public Schools,AR,102,649,0504560,15.72
81537,5,4590,Conway Public Schools,AR,1683,12194,0504590,13.8
6044,5,9,Corning Public Schools,AR,190,946,0500009,20.08
4810,5,405,Cossatot River School District,AR,188,909,0500405,20.68
4604,5,4680,Cotter School District,AR,151,715,0504680,21.12
3379,5,4740,County Line School District,AR,92,576,0504740,15.97
3241,5,7740,Cross County School District,AR,92,529,0507740,17.39
10112,5,4800,Crossett School District,AR,550,1729,0504800,31.81
3779,5,4860,Cutter-Morning Star School District,AR,111,653,0504860,17
3504,5,4890,Danville School District,AR,119,622,0504890,19.13
10201,5,4930,Dardanelle Public Schools,AR,447,1739,0504930,25.7
