leaid,district_name,fips_state,total_revenue,federal_revenue,state_local_revenue,state_abbr,saipe_district_name,total_pop,child_poverty_est,child_pop,pct_child_poverty
4834630,PERRIN WHITT SCH DIST 903,48,6153,397,5756,TX,Perrin-Whitt Consolidated Independent School District,2504,40,419,9.55
4812090,BUNA IND SCH DIST 903,48,25319,2973,22346,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4812090,BUNA IND SCH DIST 903,48,25319,2973,22346,TX,Chisum Independent School District,5206,142,1006,14.12
4812090,BUNA IND SCH DIST 903,48,25319,2973,22346,TX,Buna Independent School District,7770,167,1371,12.18
4827750,LITTLEFIELD IND SCH DIST 904,48,21813,3131,18682,TX,Spur Independent School District,1443,36,179,20.11
4827750,LITTLEFIELD IND SCH DIST 904,48,21813,3131,18682,TX,Littlefield Independent School District,6335,378,1224,30.88
4827960,LOMETA IND SCH DIST 902,48,6545,977,5568,TX,Spur Independent School District,1443,36,179,20.11
4827960,LOMETA IND SCH DIST 902,48,6545,977,5568,TX,Lometa Independent School District,1642,73,320,22.81
4844250,VYSEHRAD IND SCH DIST 904,48,1480,71,1409,TX,Vysehrad Independent School District,798,8,83,9.64
4816410,DAYTON IND SCH DIST 902,48,79172,10114,69058,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4816410,DAYTON IND SCH DIST 902,48,79172,10114,69058,TX,Dayton Independent School District,39913,1829,8199,22.31
4815120,COOLIDGE IND SCH DIST 901,48,8468,619,7849,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4815120,COOLIDGE IND SCH DIST 901,48,8468,619,7849,TX,Coolidge Independent School District,1263,57,260,21.92
4837590,ROCKDALE IND SCH DIST 904,48,28195,4476,23719,TX,Rocksprings Independent School District,1163,62,189,32.80
4837590,ROCKDALE IND SCH DIST 904,48,28195,4476,23719,TX,Rockdale Independent School District,9642,354,1657,21.36
4835730,PRAIRIE VALLEY IND SCHOOL DIST 909,48,2760,178,2582,TX,Rocksprings Independent School District,1163,62,189,32.80
4835730,PRAIRIE VALLEY IND SCHOOL DIST 909,48,2760,178,2582,TX,Prairie Valley Independent School District,777,11,121,9.09
4815330,CORSICANA IND SCH DIST 903,48,87531,14490,73041,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4815330,CORSICANA IND SCH DIST 903,48,87531,14490,73041,TX,Corsicana Independent School District,33598,1395,6722,20.75
4825530,KERENS IND SCH DIST 907,48,13701,2086,11615,TX,Spur Independent School District,1443,36,179,20.11
4825530,KERENS IND SCH DIST 907,48,13701,2086,11615,TX,Kerens Independent School District,4060,143,719,19.89
4832730,NEWTON IND SCH DIST 902,48,18825,3103,15722,TX,Rocksprings Independent School District,1163,62,189,32.80
4832730,NEWTON IND SCH DIST 902,48,18825,3103,15722,TX,Newton Independent School District,6224,254,992,25.60
4822830,HEARNE IND SCH DIST 905,48,16237,3737,12500,TX,Spur Independent School District,1443,36,179,20.11
4822830,HEARNE IND SCH DIST 905,48,16237,3737,12500,TX,Hearne Independent School District,7658,449,1447,31.03
4846260,WINTERS IND SCH DIST 904,48,9530,1851,7679,TX,Winters Independent School District,3145,214,543,39.41
4842240,TATUM IND SCH DIST 910,48,20888,1788,19100,TX,Tatum Independent School District,5574,112,1014,11.05
