destinationtable,rcdts,level,school_name,district,city,county,district_type,school_type,grades_served,percent_of_kindergartners_rated_on_14_required_measures,percent_of_kindergartners_demonstrating_readiness_in_zero_devel,percent_of_kindergartners_demonstrating_readiness_in_one_develo,percent_of_kindergartners_demonstrating_readiness_in_two_develo,percent_of_kindergartners_demonstrating_readiness_in_all_three_,percent_of_kindergartners_demonstrating_readiness_in_all_thre_1,percent_of_kindergartners_demonstrating_readiness_in_all_thre_2,percent_of_kindergartners_demonstrating_readiness_in_all_thre_3,percent_of_kindergartners_demonstrating_readiness_in_all_thre_4,percent_of_kindergartners_demonstrating_readiness_in_all_thre_5,percent_of_kindergartners_demonstrating_readiness_in_all_thre_6,percent_of_kindergartners_demonstrating_readiness_in_all_thre_7,percent_of_kindergartners_demonstrating_readiness_in_all_thre_8,percent_of_kindergartners_demonstrating_readiness_in_all_thre_9,percent_of_kindergartners_demonstrating_readiness_in_all_thr_10,percent_of_kindergartners_demonstrating_readiness_in_all_thr_11,percent_of_kindergartners_demonstrating_readiness_in_all_thr_12,percent_of_kindergartners_demonstrating_readiness_in_all_thr_13,percent_of_kindergartners_demonstrating_readiness_in_all_thr_14,percent_of_kindergartners_demonstrating_readiness_in_all_thr_15,percent_of_kindergartners_demonstrating_readiness_in_all_thr_16,percent_of_kindergartners_demonstrating_readiness_in_social_and,percent_of_kindergartners_demonstrating_readiness_in_language_a,percent_of_kindergartners_demonstrating_readiness_in_math
KIDS1,05-016-0290-02-2001,School,Middlefork Primary School,Sunset Ridge SD 29,Northfield,Cook,Elementary District,Elementary School,K - 3,98.3,20.3,,,57.6,59.2,,*,*,,,*,,60.6,53.8,,*,*,*,,,67.8,66.1,69.5
KIDS1,05-016-0290-02-2002,School,Sunset Ridge Elem School,Sunset Ridge SD 29,Northfield,Cook,Elementary District,Elementary School,4 - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,16-019-4270-26-2004,School,North Elementary School,Sycamore CUSD 427,Sycamore,Dekalb,Unit District,Elementary School,K - 5,100,49.1,18.2,,21.8,26.2,*,*,*,,,*,,,,,*,*,*,*,,40,41.8,23.6
KIDS1,16-019-4270-26-2008,School,North Grove Elementary School,Sycamore CUSD 427,Sycamore,Dekalb,Unit District,Elementary School,K - 5,100,,,34.3,34.3,34.5,*,,*,,,*,,,,,*,*,*,*,,71.4,68.6,37.1
KIDS1,16-019-4270-26-2007,School,South Prairie Elementary School,Sycamore CUSD 427,Sycamore,Dekalb,Unit District,Elementary School,PK - 5,100,93.6,,,,,,*,*,,,*,,,,,*,*,,*,,,,
KIDS1,16-019-4270-26-2005,School,Southeast Elem School,Sycamore CUSD 427,Sycamore,Dekalb,Unit District,Elementary School,K - 5,100,22.6,,,49.1,57.5,,*,,,,*,,58.8,44.4,,*,*,*,*,,66,58.5,62.3
KIDS1,16-019-4270-26-0001,School,Sycamore High School,Sycamore CUSD 427,Sycamore,Dekalb,Unit District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,16-019-4270-26-1002,School,Sycamore Middle School,Sycamore CUSD 427,Sycamore,Dekalb,Unit District,Middle/Junior High School,6 - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,16-019-4270-26-2006,School,West Elem School,Sycamore CUSD 427,Sycamore,Dekalb,Unit District,Elementary School,K - 5,100,42,,28,22,,*,*,*,,,*,,,,,*,*,*,*,*,48,54,28
KIDS1,56-099-0900-02-2001,School,Taft Grade School,Taft SD 90,Lockport,Will,Elementary District,Elementary School,PK - 8,84,,,,,,*,*,,,,*,,,,,,,,*,,100,76.2,
