,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
region_Midwest,-0.027491029940554818,-0.11443494080465531,-0.09296070121200246,-0.06859789098118682,0.4194452516643405,0.5850554826474385,0.16363304361349104,-0.36760691347468144,-0.20655912534371906,0.5000000000000007
region_Northeast,0.2501210154709149,0.1681392021970477,0.024407982546915286,-0.032701059613510046,-0.057964795455076955,-0.04311007918502261,-0.13599627336082187,0.6620808768279001,-0.4420849546453296,0.499999999999999
region_South,-0.21922260493964962,-0.03326667370012745,0.13588819611236727,0.07032665480062658,-0.40252406510971916,-0.5108753607847246,0.13483731084726253,-0.4504900666002133,-0.18243267233398963,0.5000000000000016
region_West,-0.0034073805907109114,-0.020437587692264416,-0.06733547744727975,0.03097229579407051,0.041043608900456115,-0.03107004267769084,-0.16247408109993192,0.15601610324699866,0.8310767523230396,0.4999999999999987
ap_opportunity,0.11677106893090188,-0.12013579621340685,0.35767774959889753,0.6406856408927787,-0.4479203151522087,0.467154446330505,-0.11830139738740153,-0.013773450861082304,0.021670969053887875,-9.311147763771371e-17
crdc_coursework,0.13855469497775738,-0.21066749910966034,0.29138425236423515,0.5003242078166087,0.650655076447653,-0.4004739369182956,-0.11317879600614315,-0.020639116272633477,-0.06500684749674655,6.762737400698687e-17
test_participation,-0.05336954255248934,-0.3158690513496645,0.7519250042302711,-0.5443919701536073,0.009248992915169021,0.06913133741762166,-0.16705221724686864,0.040231862004819305,0.03514076667089842,-1.9879088016666588e-16
grad_rate,0.06567766800427662,-0.16532568724980493,0.15623743150787492,0.05087739619833805,-0.00810540309484142,-0.021556618610149892,0.9167828558516465,0.28807344398689205,0.13171073355499824,-6.103938899508436e-16
funding,0.7865259613583335,0.4428717623824423,0.18172798829887749,-0.1335229890104322,-0.01561728916760617,-0.04661820477973566,0.08751556465831052,-0.33409139472072236,0.11267152722161759,8.912433403227828e-16
poverty,-0.4795786922461763,0.7583237061730237,0.36345333434488164,0.10362398366907861,0.18059840568700453,0.08867290440027518,0.08537816246965156,0.04892946126982465,0.04416998351004277,-4.901798208894379e-16
