ceeb,school_name,state,sector,rigor_score_default,rigor_tier_default,rigor_score_scenarioA,rigor_tier_scenarioA,ib_intensity_v2
054342,Mokelumne River High School,,private,,,,,
054346,Alliance Morgan McKinzie High,CA,public,-0.30382235221558124,Average,-0.4741802394147291,Average,0.0
054347,Mission Vista High,CA,public,-0.03939354880097429,Demanding,-0.0974509517613763,Average,0.0
054351,Del Norte High,CA,public,1.3964893637727824,Very Demanding,1.160009601944274,Very Demanding,0.0
054363,Sun Valley High School,,private,,,,,
054364,Christopher High,CA,public,-0.03478668020037898,Demanding,-0.07123876771076164,Average,0.0
054365,Ihigh Virtual Academy,,private,-0.03472048722195559,Demanding,-0.03472048722195559,Average,
054368,Daniel Pearl Journalism & Communications Magnet,CA,public,0.12043700248972744,Demanding,0.04439658080469511,Demanding,0.0
054371,Branson Academy Inc,,private,,,,,
054375,John C. Kimball High,CA,public,-0.17133805221686832,Average,-0.20095092475361168,Average,0.0
054376,Ramon C. Cortines School of Visual and Performing Arts,CA,public,-0.20464003576050513,Average,-0.2612467307230937,Average,0.0
054378,Da Vinci Science,CA,public,-0.029953075640444998,Demanding,-0.11365682065124771,Average,0.0
054379,Western Sierra Collegiate Academy,CA,public,0.501897587647173,Demanding,0.3939015717426184,Demanding,0.0
054381,Felicitas and Gonzalo Mendez High,CA,public,-0.41483862279232064,Average,-0.5391116422003115,Average,0.0
054384,Kuyper Preparatory School,,private,,,,,
054385,Capistrano Union High,CA,public,-1.324147555094183,Below Average,-0.644538126613877,Below Average,0.0
054395,Turner Christian High School,,private,,,,,
054399,Chartwell School,,private,,,,,
054406,American Canyon High,CA,public,-0.20612040974742726,Average,-0.19681774712092948,Average,0.0
054407,Riverside Virtual School,,private,-0.5863953321397201,Average,-0.5863953321397201,Average,
054412,Coliseum College Prep Academy,CA,public,-0.19196378130572211,Average,-0.25380202147016023,Average,0.0
054414,Harmony Magnet Academy,CA,public,-0.27087823132941025,Average,-0.26576593343201016,Average,0.0
054418,Rancho Christian High School,,private,-0.19431277050055915,Average,-0.19431277050055915,Average,
054419,Renaissance School Arts & Sci,,private,,,,,
054429,Everest Public High,CA,public,0.3901561826403159,Demanding,-0.015189374870340208,Demanding,0.0
054438,Liberty Ranch High,CA,public,-0.2837270933070625,Average,-0.26708428167403164,Average,0.0
054458,University Preparatory High,CA,public,1.2017340966661672,Very Demanding,0.48583460180933236,Demanding,0.0
054460,Aspire Langston Hughes Academy,CA,public,-0.4576270366801456,Average,-0.4919342071945735,Average,0.0
054462,Alta Vista Alternative High,CA,public,0.2527998948154472,Demanding,0.33469271351234986,Demanding,0.0
