ncessch,school_name,city,state,zip,school_level,total_students,frl_students,pupil_teacher_ratio,rcdts,summative_designation,title_i_status,isbe_enrollment,district_total_revenue,district_federal_revenue,state_child_poverty_est,state_child_pop
1703429,21st Century Primary Center,Park Forest,IL ,60466,Elementary,152,121,10.7,07-016-1630-02-2008,Commendable,Title 1 Schoolwide,150,,,267982,2037081
1701664,Abbott Middle School,Elgin,IL ,60123,Middle,551,382,12.78,31-045-0460-22-1003,Targeted,Title 1 Schoolwide,542,,,267982,2037081
1701235,Abe Lincoln Elem School,Cicero,IL ,60804,Elementary,717,661,12.46,06-016-0990-02-2006,Commendable,Title 1 Schoolwide,749,,,267982,2037081
1706274,Abingdon-Avon High Sch,Abingdon,IL ,61410,High,278,143,11.39,33-048-2760-26-0001,Commendable,Title 1 Eligible but Not Served,270,,,267982,2037081
1706247,Abingdon-Avon Middle Sch,Avon,IL ,61415,Middle,204,105,14.76,33-048-2760-26-1001,Commendable,Title 1 Schoolwide,207,,,267982,2037081
1706889,ABLE Program,South Holland,IL ,60473,Not Reported,,,,,,,,,,267982,2037081
1700231,Abraham Lincoln Elem School,Belleville,IL ,62226,Elementary,542,451,16.4,50-082-1180-02-2001,Targeted,Title 1 Schoolwide,490,,,267982,2037081
1701981,Abraham Lincoln Elem School,Glen Ellyn,IL ,60137,Elementary,559,,15.35,19-022-0410-02-2001,Exemplary,Title 1 Ineligible Due to Ranking,531,,,267982,2037081
1703060,Abraham Lincoln Elem School,Oak Park,IL ,60304,Elementary,580,103,12.38,06-016-0970-02-2007,Commendable,Title 1 Ineligible Due to Ranking,558,,,267982,2037081
1703558,Abraham Lincoln Middle School,Rockford,IL ,61104,Middle,736,590,17.36,04-101-2050-25-1009,Targeted,Title 1 Schoolwide,722,,,267982,2037081
1700339,A B Shepard High Sch (Campus),Palos Heights,IL ,60463,High,1916,1298,15.35,07-016-2180-16-0007,Commendable,Title 1 Schoolwide,1809,,,267982,2037081
1706156,Academic Behavior&Community Acad,Quincy,IL ,62301,High,0,,0,,,,,,,267982,2037081
1706035,Academy for Global Citizenship,Chicago,IL ,60638,Elementary,486,280,13.89,15-016-2990-25-229C,Commendable,Title 1 Schoolwide,486,,,267982,2037081
1706887,Academy for Learning,Dolton,IL ,60419,Not Reported,,,,,,,,,,267982,2037081
1706337,Acad for Lifelong Learning,Chicago Heights,IL ,60411,Not Reported,,,,,,,,,,267982,2037081
1208738,ACCELERATION ACADEMIES LLC HOMESTEAD,CHICAGO,IL ,60607,High,170,13,,,,,,,,486025,3345306
1705359,A-C Central Elementary School,Chandlerville,IL ,62627,Elementary,129,56,8.38,01-009-2620-26-2001,Commendable,Title 1 Targeted,124,,,267982,2037081
1705357,A-C Central High School,Ashland,IL ,62612,High,96,37,12.39,01-009-2620-26-0002,Commendable,Title 1 Eligible but Not Served,92,,,267982,2037081
1700245,A-C Central Middle School,Ashland,IL ,62612,Middle,89,37,12.28,01-009-2620-26-1002,Commendable,Title 1 Targeted,86,,,267982,2037081
1706709,ACDC Penniman,Cahokia,IL ,62206,High,0,,0,,,,,,,267982,2037081
1706424,ACE Amandla Charter School,Chicago,IL ,60629,High,137,130,10.54,15-016-9020-25-201C,Commendable,Title 1 Schoolwide,137,,,267982,2037081
1706448,Acero Chtr - Bartolome de las,Chicago,IL ,60608,Elementary,225,199,13.24,,,,,,,267982,2037081
1706474,Acero Chtr-Brighton Park Elem Sch,Chicago,IL ,60632,Elementary,465,433,15.25,,,,,,,267982,2037081
1706481,Acero Chtr - Carlos Fuentes Elem,Chicago,IL ,60618,Elementary,370,322,12.98,,,,,,,267982,2037081
1706521,Acero Chtr - Esmera Santiago Cmps,Chicago,IL ,60622,Elementary,224,199,12.44,,,,,,,267982,2037081
1706467,Acero Chtr Netrk -  Major Garcia,Chicago,IL ,60632,High,666,597,12.93,,,,,,,267982,2037081
1706505,Acero Chtr Network - Jovita Idar,Chicago,IL ,60632,Elementary,528,467,18.53,,,,,,,267982,2037081
1706522,Acero Chtr Network - PFC Torress,Chicago,IL ,60632,Elementary,528,467,18.53,,,,,,,267982,2037081
1706482,Acero Chtr - Octavio Paz Elem Sch,Chicago,IL ,60608,Elementary,98,93,7.84,,,,,,,267982,2037081
1706497,Acero Chtr - Officer Marquez Elem,Chicago,IL ,60632,Elementary,508,473,14.11,,,,,,,267982,2037081
1706524,Acero Chtr  Roberto Clemente Elem,Chicago,IL ,60707,Elementary,461,376,18.08,,,,,,,267982,2037081
1706455,Acero Chtr - Rufino Tamayo Elem,Chicago,IL ,60632,Elementary,266,241,14,,,,,,,267982,2037081
1706436,Acero Chtr - Sandra Cisneros Elem,Chicago,IL ,60632,Elementary,326,294,12.3,,,,,,,267982,2037081
1706483,Acero Chtr Sch Netwrk- Victoria,Chicago,IL ,60632,High,561,552,13.36,,,,,,,267982,2037081
1706508,Acero Chtr  Sor Juana Ines de la,Chicago,IL ,60645,Other,432,388,9.6,,,,,,,267982,2037081
1706444,Acero Chtr - SPC Zizumbo Elem,Chicago,IL ,60632,Elementary,532,459,16.63,,,,,,,267982,2037081
1706836,ACHIEVE Program,East Moline,IL ,61244,Not Reported,,,,,,,,,,267982,2037081
1706352,ACTIONS Program,Champaign,IL ,61820,Other,0,,0,,,,,,,267982,2037081
1705082,Adams Co Juvenile Detention Cntr,Quincy,IL ,62305,High,0,,0,,,,,,,267982,2037081
1706022,Adams County RSSP,Quincy,IL ,62301,High,0,,0,,,,,,,267982,2037081
1702536,Adams Elem School,Lincoln,IL ,62656,Elementary,57,33,7.08,17-054-0270-02-2003,,Title 1 Targeted,103,,,267982,2037081
1702662,Adams School,Creal Springs,IL ,62922,Elementary,283,120,11.32,21-100-0020-26-2003,Targeted,Title 1 Schoolwide,283,,,267982,2037081
1700884,Addams Elem School,Chicago,IL ,60617,Elementary,544,426,13.77,15-016-2990-25-2051,Targeted,Title 1 Schoolwide,542,,,267982,2037081
1706390,Addison Early Learning Center,Addison,IL ,60101,Prekindergarten,190,128,14.62,19-022-0040-02-3002,,Title 1 Schoolwide,190,,,267982,2037081
1701737,Addison Trail High School,Addison,IL ,60101,High,1847,1161,16.38,19-022-0880-16-0001,Commendable,Title 1 Schoolwide,1839,,,267982,2037081
1703385,Adlai E Stevenson High School,Lincolnshire,IL ,60069,High,4758,,15.99,34-049-1250-13-0001,Commendable,Title 1 Targeted,4719,,,267982,2037081
1703631,Adlai Stevenson Elem School,Elk Grove Village,IL ,60007,Elementary,513,,10.15,05-016-0540-04-2028,Commendable,Title 1 Targeted,513,,,267982,2037081
1705318,Adler Park School,Libertyville,IL ,60048,Elementary,238,,11.11,34-049-0700-02-2007,Exemplary,Title 1 Eligible but Not Served,233,,,267982,2037081
1701713,Adm Richard E Byrd Elem School,Elk Grove Village,IL ,60007,Elementary,301,241,9.8,05-016-0590-04-2002,Commendable,Title 1 Schoolwide,291,,,267982,2037081
1703632,Adolph Link Elem School,Elk Grove Village,IL ,60007,Elementary,652,,14.08,05-016-0540-04-2023,Commendable,Title 1 Ineligible Due to Ranking,651,,,267982,2037081
1706578,Adult LIFE Academy,Mattoon,IL ,61938,Not Reported,,,,,,,,,,267982,2037081
1706893,A.E.R.O. Therapeutic Center,Burbank,IL ,60459,Not Reported,,,,,,,,,,267982,2037081
1703491,A F Ames Elem School,Riverside,IL ,60546,Elementary,482,151,15.45,06-016-0960-02-2001,Commendable,Title 1 Targeted,466,,,267982,2037081
1706055,Air Force Acad High School,Chicago,IL ,60609,High,131,115,7.38,15-016-2990-25-0848,Commendable,Title 1 Schoolwide,130,,,267982,2037081
1704814,A J Katzenmaier Academy,North Chicago,IL ,60064,Elementary,387,385,14.88,34-049-1870-26-2008,Comprehensive,Title 1 Schoolwide,376,,,267982,2037081
1700014,Akin Comm Cons Elem School,Akin,IL ,62890,Elementary,124,68,10.83,21-028-0910-04-2001,Commendable,Title 1 Schoolwide,124,,,267982,2037081
1700350,Alan B Shepard Elem School,Bourbonnais,IL ,60914,Elementary,483,297,15.56,32-046-0530-02-2003,Commendable,Title 1 Schoolwide,473,,,267982,2037081
1701437,Alan B Shepard Middle School,Deerfield,IL ,60015,Middle,476,,9.63,34-049-1090-02-1005,Commendable,Title 1 Targeted,475,,,267982,2037081
1704962,Albany Park Multicultural Elem,Chicago,IL ,60625,Middle,243,224,13.5,15-016-2990-25-2850,Commendable,Title 1 Schoolwide,243,,,267982,2037081
1700015,Albers Elem School,Albers,IL ,62215,Elementary,154,30,10.92,13-014-0630-02-2001,Commendable,Not a Participant in Title One Program,161,,,267982,2037081
1706020,Albert Cassens Elementary,Glen Carbon,IL ,62034,Elementary,477,93,17.38,41-057-0070-26-2012,Exemplary,Title 1 Ineligible Due to Ranking,481,,,267982,2037081
1703633,Albert Einstein Elem School,Hanover Park,IL ,60133,Elementary,512,,9.89,05-016-0540-04-2026,Commendable,Title 1 Targeted,511,,,267982,2037081
1701634,Albion Grade School,Albion,IL ,62806,Elementary,427,201,14.08,20-024-0010-26-2001,Commendable,Title 1 Targeted,434,,,267982,2037081
1706072,Alcott College Prep,Chicago,IL ,60618,High,373,277,4.4,15-016-2990-25-0849,Commendable,Title 1 Schoolwide,359,,,267982,2037081
1700804,Alcott Elem School,Chicago,IL ,60614,Elementary,567,73,,15-016-2990-25-2053,Exemplary,Title 1 Ineligible Due to Ranking,557,,,267982,2037081
1704512,Alden Hebron Elem School,Hebron,IL ,60034,Elementary,210,78,10.61,44-063-0190-24-2001,Commendable,Title 1 Schoolwide,208,,,267982,2037081
1700017,Alden-Hebron High School,Hebron,IL ,60034,High,112,50,8.71,44-063-0190-24-0002,Exemplary,Title 1 Schoolwide,109,,,267982,2037081
1700016,Alden-Hebron Middle School,Hebron,IL ,60034,Middle,99,36,11.51,44-063-0190-24-1001,Commendable,Title 1 Schoolwide,98,,,267982,2037081
1701168,Aldridge Elem School,Chicago,IL ,60827,Elementary,257,239,13.53,15-016-2990-25-2054,Commendable,Title 1 Schoolwide,253,,,267982,2037081
1702970,Alex M Martino Jr High School,New Lenox,IL ,60451,Middle,591,64,15.55,56-099-1220-02-1005,Commendable,Title 1 Ineligible Due to Ranking,588,,,267982,2037081
1704800,Algonquin Lakes Elem Sch,Algonquin,IL ,60102,Elementary,408,237,12.89,31-045-3000-26-2001,Commendable,Title 1 Eligible but Not Served,389,,,267982,2037081
1700477,Algonquin Middle School,Algonquin,IL ,60102,Middle,370,209,8.81,31-045-3000-26-1004,Commendable,Title 1 Eligible but Not Served,400,,,267982,2037081
1701460,Algonquin Middle School,Des Plaines,IL ,60016,Middle,597,342,9.95,05-016-0620-04-1001,Commendable,Title 1 Schoolwide,600,,,267982,2037081
1706355,Algonquin Primary Center,Park Forest,IL ,60466,Prekindergarten,127,97,25.4,07-016-1630-02-3001,,Title 1 Schoolwide,127,,,267982,2037081
1701878,Algonquin Road Elem School,Fox River Grove,IL ,60021,Elementary,239,57,13.28,44-063-0030-03-2001,Exemplary,Title 1 Schoolwide,227,,,267982,2037081
1702176,Alhambra Primary School,Alhambra,IL ,62001,Elementary,156,42,14.18,41-057-0050-26-2004,Exemplary,Title 1 Ineligible Due to Ranking,156,,,267982,2037081
1700200,Alice Gustafson Elem School,Batavia,IL ,60510,Elementary,403,57,13.44,31-045-1010-22-2003,Commendable,Title 1 Ineligible Due to Ranking,505,,,267982,2037081
1704514,Allendale Elementary School,Allendale,IL ,62410,Elementary,131,62,11.59,20-093-0170-24-2001,Commendable,Title 1 Schoolwide,131,,,267982,2037081
1705136,Allendale School,Lake Villa,IL ,60046,High,0,,0,,,,,,,267982,2037081
1702435,Allen School School,La Moille,IL ,61330,Elementary,96,47,10.19,,,,,,,267982,2037081
1706783,ALOP,Burlington,IL ,60109,High,0,,,,,,,,,267982,2037081
1706765,ALSP-Blackhawk MS-Bensenville SD,Bensenville,IL ,60106,Not Reported,,,,,,,,,,267982,2037081
1706752,ALSP-DuJardin Elem Sch-Bloomingda,Bloomingdale,IL ,60108,Not Reported,,,,,,,,,,267982,2037081
1706739,ALSP-Fenton CHS-Fenton HSD 100,Bensenville,IL ,60106,Not Reported,,,,,,,,,,267982,2037081
1706744,ALSP-F.E. Peacock MS-Itasca SD 10,Itasca,IL ,60143,Not Reported,,,,,,,,,,267982,2037081
1706712,ALSP-Lake Park East HS-Lake Park,Roselle,IL ,60172,Not Reported,,,,,,,,,,267982,2037081
1706704,ALSP-Medinah Inter Sch-Medinah SD,Medinah,IL ,60157,Not Reported,,,,,,,,,,267982,2037081
1706897,ALSP -  Raymond Benson Primary -,Roselle,IL ,60172,Not Reported,,,,,,,,,,267982,2037081
1706761,ALSP-Westfield MS-Bloomingdale SD,Bloomingdale,IL ,60108,Not Reported,,,,,,,,,,267982,2037081
1700033,Altamont Grade School,Altamont,IL ,62411,Elementary,462,288,12,03-025-0100-26-2002,Commendable,Title 1 Schoolwide,457,,,267982,2037081
1700034,Altamont High School,Altamont,IL ,62411,High,222,114,10.83,03-025-0100-26-0001,Commendable,Title 1 Eligible but Not Served,215,,,267982,2037081
1700035,Alton High School,Alton,IL ,62002,High,1823,785,18.46,41-057-0110-26-0001,Targeted,Title 1 Schoolwide,1753,,,267982,2037081
1705841,Alton Middle School,Alton,IL ,62002,Middle,1220,623,14.08,41-057-0110-26-1006,Targeted,Title 1 Schoolwide,1188,,,267982,2037081
1700057,AlWood Elem School,Alpha,IL ,61413,Elementary,172,74,8.91,28-037-2250-26-2003,Commendable,Title 1 Targeted,170,,,267982,2037081
1700058,AlWood  Middle/High School,Woodhull,IL ,61490,High,184,62,9.34,28-037-2250-26-0001,Commendable,Title 1 Eligible but Not Served,182,,,267982,2037081
1700059,Amboy Central Elem School,Amboy,IL ,61310,Elementary,283,139,13.13,47-052-2720-26-2003,Commendable,Title 1 Targeted,273,,,267982,2037081
1700060,Amboy High School,Amboy,IL ,61310,High,229,87,11.17,47-052-2720-26-0001,Commendable,Title 1 Eligible but Not Served,223,,,267982,2037081
1700061,Amboy Jr High School,Amboy,IL ,61310,Middle,210,99,12,47-052-2720-26-1002,Targeted,Title 1 Eligible but Not Served,204,,,267982,2037081
1706079,Amelia V Carriel Jr High,O Fallon,IL ,62269,Middle,664,177,17.95,50-082-0900-04-1003,Commendable,Title 1 Targeted,652,,,267982,2037081
1703413,Americana Elementary School,Glendale Heights,IL ,60139,Elementary,401,219,12.21,19-022-0160-02-2001,Commendable,Title 1 Schoolwide,403,,,267982,2037081
1701406,American Dreamer STEM Academy,Decatur,IL ,62521,Elementary,423,377,15.11,,,,,,,267982,2037081
1700458,Amos Alonzo Stagg High School,Palos Hills,IL ,60465,High,2560,,14.7,07-016-2300-13-0002,Commendable,Title 1 Schoolwide,2515,,,267982,2037081
1700587,Amundsen High School,Chicago,IL ,60625,High,1507,561,14.92,15-016-2990-25-0001,Commendable,Title 1 Ineligible Due to Ranking,1420,,,267982,2037081
1706780,A.N.C.H.O.R. Academy,Blue Island,IL ,60406,Middle,0,,0,,,,,,,267982,2037081
1703545,Andalusia Elem School,Andalusia,IL ,61232,Elementary,272,57,15.11,49-081-3000-26-2003,Commendable,Title 1 Targeted,269,,,267982,2037081
1703851,Anderson Elem School,Saint Charles,IL ,60174,Elementary,460,158,13.07,31-045-3030-26-2001,Exemplary,Title 1 Schoolwide,426,,,267982,2037081
1704122,Andrew Cooke Magnet Elem School,Waukegan,IL ,60085,Elementary,395,224,11.29,34-049-0600-26-2006,Commendable,Title 1 Schoolwide,394,,,267982,2037081
1700067,Anna-Jonesboro High School,Anna,IL ,62906,High,476,241,13.6,30-091-0810-16-0001,Commendable,Title 1 Schoolwide,454,,,267982,2037081
1700064,Anna Junior High School,Anna,IL ,62906,Middle,236,116,12.87,30-091-0370-04-1001,Commendable,Title 1 Schoolwide,229,,,267982,2037081
1702639,Anna McDonald Elem School,Manhattan,IL ,60442,Elementary,434,80,16.07,56-099-1140-02-2001,Exemplary,Title 1 Targeted,426,,,267982,2037081
1700068,Annawan Grade School,Annawan,IL ,61234,Elementary,243,93,12.66,28-037-2260-26-2002,Commendable,Title 1 Targeted,234,,,267982,2037081
1700069,Annawan High School,Annawan,IL ,61234,High,99,32,9.75,28-037-2260-26-0001,Commendable,Title 1 Eligible but Not Served,94,,,267982,2037081
1703634,Anne Fox Elem School,Hanover Park,IL ,60133,Elementary,324,,7.9,05-016-0540-04-2011,Commendable,Title 1 Targeted,323,,,267982,2037081
1703172,Anne M Jeans Elem School,Willowbrook,IL ,60527,Elementary,277,247,10.54,19-022-1800-04-2002,Commendable,Title 1 Schoolwide,262,,,267982,2037081
1703402,Anne Sullivan Elem School,Prospect Heights,IL ,60070,Elementary,329,121,13.16,05-016-0230-02-2005,Targeted,Title 1 Schoolwide,327,,,267982,2037081
1705001,Annette Officer Elementary,East Saint Louis,IL ,62205,Elementary,362,362,14.48,50-082-1890-22-2038,Commendable,Title 1 Schoolwide,359,,,267982,2037081
1703265,Annie Jo Gordon Comm Lrning Cntr,Peoria,IL ,61605,Elementary,542,500,12.6,,,,,,,267982,2037081
1706106,Ann Reid Early Childhood Center,Naperville,IL ,60540,Prekindergarten,375,,20.95,19-022-2030-26-3001,,Title 1 Ineligible Due to Ranking,357,,,267982,2037081
1700075,Antioch Comm High School,Antioch,IL ,60002,High,1313,,14.4,34-049-1170-16-0001,Commendable,Title 1 Targeted,1282,,,267982,2037081
1700072,Antioch Upper Grade School,Antioch,IL ,60002,Middle,875,269,13,34-049-0340-04-1002,Commendable,Title 1 Ineligible Due to Ranking,860,,,267982,2037081
1702323,A O Marshall Elem School,Joliet,IL ,60432,Elementary,246,234,13.48,56-099-0860-05-2011,Commendable,Title 1 Schoolwide,227,,,267982,2037081
1703361,Aplington Middle School,Polo,IL ,61064,Middle,114,55,12.78,47-071-2220-26-1001,Commendable,Title 1 Schoolwide,112,,,267982,2037081
1700019,Apollo Elem School,Aledo,IL ,61231,Elementary,362,187,12.48,33-066-4040-26-2001,Commendable,Title 1 Schoolwide,359,,,267982,2037081
1700063,Apollo Elem School,Des Plaines,IL ,60016,Elementary,536,366,11.07,05-016-0630-02-2012,Targeted,Title 1 Schoolwide,577,,,267982,2037081
1704367,Aptakisic Junior High School,Buffalo Grove,IL ,60089,Middle,940,,14.14,34-049-1020-04-1002,Commendable,Title 1 Targeted,931,,,267982,2037081
1705833,Arbor Academy,Highland Park,IL ,60035,Not Reported,,,,,,,,,,267982,2037081
1700080,Arbor Elementary School,Oak Forest,IL ,60452,Elementary,232,109,12.89,07-016-1450-02-2004,Commendable,Title 1 Targeted,229,,,267982,2037081
1700078,Arbor Park Middle School,Oak Forest,IL ,60452,Middle,520,257,11.3,07-016-1450-02-1001,Targeted,Title 1 Eligible but Not Served,509,,,267982,2037081
1704076,Arbor View Elem School,Glen Ellyn,IL ,60137,Elementary,313,70,13.97,19-022-0890-04-2001,Commendable,Title 1 Ineligible Due to Ranking,306,,,267982,2037081
1703208,ARC,Jacksonville,IL ,62650,High,0,,,,,,,,,267982,2037081
1702717,Arcadia Elem School,Olympia Fields,IL ,60461,Elementary,516,225,13.01,07-016-1620-02-2001,Commendable,Title 1 Schoolwide,509,,,267982,2037081
1700082,Arcola Elementary School,Arcola,IL ,61910,Elementary,410,188,13.06,11-021-3060-26-2002,Commendable,Title 1 Schoolwide,405,,,267982,2037081
1700083,Arcola High School,Arcola,IL ,61910,High,299,171,11.07,11-021-3060-26-0001,Commendable,Title 1 Eligible but Not Served,294,,,267982,2037081
1700478,Ardmore Elem School,Addison,IL ,60101,Elementary,230,183,11.5,19-022-0040-02-2011,Commendable,Title 1 Schoolwide,230,,,267982,2037081
1704052,Ardmore Elem School,Villa Park,IL ,60181,Elementary,425,108,13.28,19-022-0450-02-2001,Commendable,Title 1 Ineligible Due to Ranking,415,,,267982,2037081
1700084,Argenta-Oreana Elementary School,Oreana,IL ,62554,Elementary,445,238,13.86,39-055-0010-26-2002,Targeted,Title 1 Schoolwide,432,,,267982,2037081
1700085,Argenta-Oreana High School,Argenta,IL ,62501,High,268,150,12.92,39-055-0010-26-0001,Commendable,Title 1 Eligible but Not Served,259,,,267982,2037081
1700086,Argenta-Oreana Middle School,Argenta,IL ,62501,Middle,180,108,13.19,39-055-0010-26-1001,Targeted,Title 1 Schoolwide,174,,,267982,2037081
1700088,Argo Community High School,Summit,IL ,60501,High,1817,1174,14.76,07-016-2170-16-0001,Commendable,Title 1 Schoolwide,1739,,,267982,2037081
1701607,Ariel Elem Community Academy,Chicago,IL ,60653,Elementary,364,259,10.47,15-016-2990-25-2895,Targeted,Title 1 Schoolwide,364,,,267982,2037081
1705654,Arland D Williams Jr Elem Sch,Mattoon,IL ,61938,Elementary,653,448,14.35,11-015-0020-26-2015,Commendable,Title 1 Schoolwide,639,,,267982,2037081
1703609,Arlene Welch Elementary School,Naperville,IL ,60564,Elementary,576,167,12.8,19-022-2040-26-2022,Commendable,Title 1 Eligible but Not Served,590,,,267982,2037081
1701001,Armour Elem School,Chicago,IL ,60608,Elementary,255,197,9.11,15-016-2990-25-2058,Commendable,Title 1 Schoolwide,254,,,267982,2037081
1700118,Armstrong-Ellis Elem School,Armstrong,IL ,61812,Elementary,81,33,7.71,54-092-0610-03-2001,Commendable,Title 1 Targeted,80,,,267982,2037081
1701181,Armstrong G Elem IntL Studies,Chicago,IL ,60645,Elementary,1304,1099,14.49,15-016-2990-25-2059,Commendable,Title 1 Schoolwide,1300,,,267982,2037081
1700119,Armstrong High School,Armstrong,IL ,61812,High,114,43,8.14,54-092-2250-17-0001,Commendable,Title 1 Targeted,113,,,267982,2037081
1701568,Armstrong-Oakview Elem School,East Peoria,IL ,61611,Elementary,155,63,10.83,53-090-0860-02-2001,Commendable,Title 1 Schoolwide,138,,,267982,2037081
1700005,Army Trail Elem School,Addison,IL ,60101,Elementary,258,204,9.21,19-022-0040-02-2002,Targeted,Title 1 Schoolwide,251,,,267982,2037081
1700195,Arnett C Lines Elem School,Barrington,IL ,60010,Elementary,501,70,13.15,34-049-2200-26-2007,Exemplary,Title 1 Ineligible Due to Ranking,518,,,267982,2037081
1702971,Arnold J Tyler School,New Lenox,IL ,60451,Elementary,372,56,16.91,56-099-1220-02-2010,Commendable,Title 1 Targeted,369,,,267982,2037081
1703957,Arnold W Kruse Ed Center,Orland Park,IL ,60462,Elementary,462,190,12.4,07-016-1460-04-2006,Commendable,Title 1 Schoolwide,405,,,267982,2037081
1703618,Arthur Froberg Elem School,Rockford,IL ,61109,Elementary,426,306,15.78,04-101-2050-25-2027,Targeted,Title 1 Schoolwide,423,,,267982,2037081
1700120,Arthur Grade School,Arthur,IL ,61911,Elementary,258,144,12.01,11-021-3050-26-2003,Commendable,Title 1 Schoolwide,256,,,267982,2037081
1700121,Arthur-Lovington-Atwood-Hammond,Arthur,IL ,61911,High,310,145,10.88,,,,,,,267982,2037081
1706770,Art in Motion Charter School,Chicago,IL ,60649,High,602,476,21.5,15-016-2990-25-111C,Commendable,Title 1 Schoolwide,594,,,267982,2037081
1704718,Ashburn Community Elem School,Chicago,IL ,60652,Elementary,324,248,12.46,15-016-2990-25-2922,Commendable,Title 1 Schoolwide,324,,,267982,2037081
1701071,Ashe Elem School,Chicago,IL ,60619,Elementary,387,366,16.13,15-016-2990-25-2437,Commendable,Title 1 Schoolwide,386,,,267982,2037081
1701255,Ashkum Early Literacy Center,Ashkum,IL ,60911,Prekindergarten,49,,23.33,32-038-0040-26-3001,,Title 1 Eligible but Not Served,44,,,267982,2037081
1700125,Ashley Com Consolidated School,Ashley,IL ,62808,Elementary,115,62,9.58,13-095-0150-04-2001,Commendable,Title 1 Schoolwide,127,,,267982,2037081
1700565,Ashmore Elem School,Ashmore,IL ,61912,Elementary,74,39,9.25,11-015-0010-26-2007,Commendable,Title 1 Targeted,74,,,267982,2037081
1704527,Ashton-Franklin Center Elem Sch,Franklin Grove,IL ,61031,Elementary,218,112,10.75,47-052-2750-26-2003,Commendable,Title 1 Schoolwide,219,,,267982,2037081
1700127,Ashton-Franklin Center HS,Ashton,IL ,61006,High,216,112,12.71,47-052-2750-26-0001,Commendable,Title 1 Eligible but Not Served,211,,,267982,2037081
1705682,Asian Human Srvcs-Passage Chrtr,Chicago,IL ,60660,Elementary,379,350,15.16,,,,,,,267982,2037081
1706453,Aspira Charter - Bus and Fin,Chicago,IL ,60618,High,426,357,12.53,,,,,,,267982,2037081
1706473,ASPIRA Charter - Early College Pr,Chicago,IL ,60618,High,285,263,13.57,,,,,,,267982,2037081
1706516,ASPIRA Charter - Haugan Campus,Chicago,IL ,60625,Middle,83,79,10.38,15-016-2990-25-110C,Commendable,Title 1 Schoolwide,83,,,267982,2037081
1705759,Aspire Alternative High School,Effingham,IL ,62401,High,0,,0,,,,,,,267982,2037081
1706215,ASSIST RSSP 12,Olney,IL ,62450,High,0,,0,,,,,,,267982,2037081
1702440,ASSIST TAOEP 12,Olney,IL ,62450,High,0,,0,,,,,,,267982,2037081
1704529,Astoria Elem School,Astoria,IL ,61501,Elementary,145,88,11.98,26-029-0010-26-2001,Commendable,Title 1 Targeted,143,,,267982,2037081
1700130,Astoria High School,Astoria,IL ,61501,High,86,38,7.31,26-029-0010-26-0001,Commendable,Title 1 Eligible but Not Served,84,,,267982,2037081
1705139,Astoria Junior High School,Astoria,IL ,61501,Middle,46,23,7.67,26-029-0010-26-1001,Targeted,Title 1 Eligible but Not Served,46,,,267982,2037081
1704530,Athens Junior High School,Athens,IL ,62613,Middle,144,58,13.52,51-065-2130-26-1001,Commendable,Title 1 Eligible but Not Served,143,,,267982,2037081
1700131,Athens Sr High School,Athens,IL ,62613,High,299,92,13.38,51-065-2130-26-0001,Commendable,Title 1 Eligible but Not Served,289,,,267982,2037081
1705657,Attea Middle School,Glenview,IL ,60026,Middle,714,143,10.5,05-016-0340-04-1006,Commendable,Title 1 Ineligible Due to Ranking,727,,,267982,2037081
1700140,Atwood-Hammond Grade School,Atwood,IL ,61913,Elementary,209,122,11.9,11-021-3050-26-2005,Commendable,Title 1 Schoolwide,205,,,267982,2037081
1704532,Auburn Elem School,Auburn,IL ,62615,Elementary,292,123,13.52,51-084-0100-26-2003,Commendable,Title 1 Schoolwide,291,,,267982,2037081
1700142,Auburn High School,Auburn,IL ,62615,High,327,131,12.85,51-084-0100-26-0001,Commendable,Title 1 Eligible but Not Served,317,,,267982,2037081
1703599,Auburn High School,Rockford,IL ,61101,High,1957,1313,19.22,04-101-2050-25-0001,Commendable,Title 1 Schoolwide,1748,,,267982,2037081
1700141,Auburn Jr High at Divernon,Divernon,IL ,62530,Middle,236,97,11.9,51-084-0100-26-1001,Commendable,Title 1 Eligible but Not Served,234,,,267982,2037081
1705966,Auburn Middle School,Auburn,IL ,62615,Elementary,200,91,11.86,51-084-0100-26-2004,Targeted,Title 1 Schoolwide,198,,,267982,2037081
1700581,Audubon Elem School,Chicago,IL ,60618,Elementary,606,55,13.62,15-016-2990-25-2062,Exemplary,Title 1 Ineligible Due to Ranking,605,,,267982,2037081
1705984,Austin College and Career Acad HS,Chicago,IL ,60644,High,190,159,10,,,,,,,267982,2037081
1706052,Autumn Creek Elem Sch,Yorkville,IL ,60560,Elementary,529,167,11.14,24-047-1150-26-2009,Commendable,Title 1 Targeted,641,,,267982,2037081
1705818,Aux Sable,Minooka,IL ,60447,Elementary,617,168,14.87,24-032-2010-04-2004,Commendable,Title 1 Ineligible Due to Ranking,598,,,267982,2037081
1705862,Aux Sable Middle Sch,Joliet,IL ,60431,Middle,844,291,15.07,56-099-2020-22-1007,Commendable,Title 1 Targeted,830,,,267982,2037081
1700582,Avalon Park Elem School,Chicago,IL ,60619,Elementary,225,193,14.06,15-016-2990-25-2063,Commendable,Title 1 Schoolwide,225,,,267982,2037081
1706402,Avis Huff Student Support Service,Kankakee,IL ,60901,Other,0,,,,,,,,,267982,2037081
