ncessch,school_name,city,state,zip,school_level,total_students,frl_students,pupil_teacher_ratio,rcdts,summative_designation,title_i_status,isbe_enrollment,district_total_revenue,district_federal_revenue,state_child_poverty_est,state_child_pop
1701703,Streamwood High School,Streamwood,IL ,60107,High,1890,1015,16.13,31-045-0460-22-0003,Commendable,Title 1 Schoolwide,1594,,,267982,2037081
1703903,Streator Twp High School,Streator,IL ,61364,High,764,417,13.77,35-050-0400-17-0001,Commendable,Title 1 Schoolwide,751,,,267982,2037081
1703876,St Rose Elem School,Breese,IL ,62230,Elementary,167,25,12.85,13-014-1415-02-2001,Commendable,Title 1 Targeted,167,,,267982,2037081
1706407,Structured Learning Environment,Lisle,IL ,60532,Not Reported,,,,,,,,,,267982,2037081
1703152,Stuart R Paddock School,Palatine,IL ,60067,Elementary,348,60,12.53,05-016-0150-04-2009,Exemplary,Title 1 Ineligible Due to Ranking,471,,,267982,2037081
1706387,SUCCESS Academy,Aurora,IL ,60506,High,0,,0,,,,,,,267982,2037081
1706418,Success Academy,Carpentersville,IL ,60110,High,0,,,,,,,,,267982,2037081
1706530,Success Academy 4-5,Algonquin,IL ,60102,Elementary,0,,,,,,,,,267982,2037081
1706435,Success Academy HS,Carpentersville,IL ,60110,High,0,,,,,,,,,267982,2037081
1705801,Suder Montessori Elem Magnet Schl,Chicago,IL ,60612,Elementary,423,184,14.46,15-016-2990-25-2941,Commendable,Title 1 Schoolwide,423,,,267982,2037081
1703005,Sugar Creek Elem School,Normal,IL ,61761,Elementary,468,283,18.52,17-064-0050-26-2002,Targeted,Title 1 Schoolwide,433,,,267982,2037081
1701116,Sullivan Elem School,Chicago,IL ,60617,Elementary,439,422,12.54,15-016-2990-25-2474,Targeted,Title 1 Schoolwide,437,,,267982,2037081
1703905,Sullivan Elem School,Sullivan,IL ,61951,Elementary,565,288,18.4,11-070-3000-26-2001,Commendable,Title 1 Schoolwide,560,,,267982,2037081
1701149,Sullivan High School,Chicago,IL ,60626,High,762,591,12.92,15-016-2990-25-0042,Targeted,Title 1 Schoolwide,711,,,267982,2037081
1703906,Sullivan High School,Sullivan,IL ,61951,High,317,139,14.92,11-070-3000-26-0004,Commendable,Title 1 Schoolwide,308,,,267982,2037081
1703907,Sullivan Middle School,Sullivan,IL ,61951,Middle,266,126,16.37,11-070-3000-26-1001,Commendable,Title 1 Schoolwide,261,,,267982,2037081
1706164,Summerdale Early Childhood Center,Rockford,IL ,61101,Prekindergarten,460,414,23,04-101-2050-25-3078,,Title 1 Ineligible Due to Ranking,460,,,267982,2037081
1703908,Summersville Grade School,Mount Vernon,IL ,62864,Elementary,283,108,12.25,13-041-0790-02-2001,Commendable,Title 1 Schoolwide,294,,,267982,2037081
1705647,Summit Academy ALOP,Machesney Pk,IL ,61115,High,0,,0,,,,,,,267982,2037081
1702338,Summit Academy RSSP,Machesney Pk,IL ,61115,High,0,,0,,,,,,,267982,2037081
1702313,Summit Academy TAOEP,Machesney Pk,IL ,61115,High,0,,0,,,,,,,267982,2037081
1701285,Summit Elementary School,Collinsville,IL ,62234,Elementary,113,64,15.4,41-057-0100-26-2020,Commendable,Title 1 Schoolwide,112,,,267982,2037081
1703913,Summit Hill Junior High School,Frankfort,IL ,60423,Middle,566,118,10.89,56-099-1610-02-1001,Exemplary,Title 1 Targeted,559,,,267982,2037081
1705430,Sumner Attendance Center,Sumner,IL ,62466,Middle,193,109,16.02,12-051-0100-26-2008,Commendable,Title 1 Schoolwide,192,,,267982,2037081
1701117,Sumner Elem Math & Sci Comm Acad,Chicago,IL ,60624,Elementary,203,160,10.15,15-016-2990-25-2475,Commendable,Title 1 Schoolwide,201,,,267982,2037081
1701702,Sunnydale Elem School,Streamwood,IL ,60107,Elementary,263,169,10.31,31-045-0460-22-2034,Commendable,Title 1 Schoolwide,331,,,267982,2037081
1700193,Sunny Hill Elem School,Carpentersville,IL ,60110,Elementary,245,215,9.42,34-049-2200-26-2003,Commendable,Title 1 Schoolwide,227,,,267982,2037081
1700282,Sunnyside Intermediate School,Berkeley,IL ,60163,Elementary,344,274,10.52,06-016-0870-02-2008,Targeted,Title 1 Schoolwide,332,,,267982,2037081
1703918,Sunset Ridge Elem School,Northfield,IL ,60093,Middle,274,,8.13,05-016-0290-02-2002,Commendable,Title 1 Targeted,273,,,267982,2037081
