school_id,school_name,address,city,state,zip,county,sector,charter,total_enrollment,enrollment_9_12,grad_rate_2021,crdc_ap_courses,ib_flag_v2,crdc_fte_counselors,county_median_hh_income,county_pct_child_poverty_saipe,nces_id_12,ceeb,rigor_tier_v4,audit_note
3910918,Franklin School of Opportunity - On Site,13465 Franklin Blvd,Lakewood,OH,44107,Cuyahoga County,public,2-No,59,44,,,,,64468,21.6,390441910918,,,
0400943,Northern AZ Academy for Career Dev. - Taylor,1300 North Centennial Blvd,Taylor,AZ,85939,Navajo County,public,1-Yes,59,58,49.5,,0.0,0,54606,31.4,040007700943,030558,Below Average,
2100839,Rivendell High School,1035 Porter Pike Rd,Bowling Green,KY,42103,Warren County,public,2-No,59,59,,,0.0,0,65794,17.6,210573000839,182200,Below Average,
3001146,227 Academy- HS,2760 Valley Dr,East Helena,MT,59635,Lewis and Clark County,public,†,59,59,,,,,78237,7.1,300065501146,,,
3800670,NORTH BORDER-WALHALLA HIGH SCHOOL,605 10th St,Walhalla,ND,58282,Pembina County,public,†,59,59,90,,0.0,0.25,68393,8.9,380005400670,350568,Demanding,
5303923,Transition 18-21 Program,516 176th St E,Spanaway,WA,98387,Pierce County,public,2-No,58,58,,,,,,,,,,
5600154,Pathfinder High School,863 Sweetwater Street,Lander,WY,82520,Fremont County,public,2-No,58,58,49.5,,0.0,1,64904,12.9,560287000154,,,
A0792060,LEHIGH LEARNING ACADEMY,113 S MAIN ST,NAZARETH,PA,18064,NORTHAMPTON,private,,58,58,,,0.0,,89184,10.2,,,,
5303648,Ferry County Open Doors - Youth Reengagement,3 Campus Drive,Curlew,WA,99118,Ferry County,public,2-No,58,58,,,0.0,0,55614,23.1,530189003648,,,
A1302131,YESHIVA BAIS CHAYA ESTHER,1305 AVE R,BROOKLYN,NY,11229,KINGS,private,,58,58,,,0.0,,80263,26.5,,,,
5303924,Rooted School Washington,10401 NE Fourth Plain Blvd,Vancouver,WA,98662,Clark County,public,1-Yes,58,58,,,,,97536,8.5,531017103924,481402,Average,
2702804,Lakeville Pathways Academy,19455 KENWOOD TRL,LAKEVILLE,MN,55044,Dakota County,public,2-No,58,58,54.5,,0.0,0,106318,5.9,271778002804,,,
2102313,Bartlett Educational Center,305 Bartlett Ave,Erlanger,KY,41018,Kenton County,public,2-No,58,38,95,,0.0,1,80548,11.5,210174002313,,,
3501126,SIX DIRECTIONS INDIGENOUS SCHOOL,2055 NM 602,GALLUP,NM,87301,McKinley County,public,1-Yes,58,33,,,0.0,0,47668,31.1,350017701126,,,
1302831,Classic City High School,440 Dearing Ext,Athens,GA,30606,Clarke County,public,2-No,58,58,64.5,,0.0,0,53625,23.7,130117002831,110118,Below Average,
