guid,name,city,ceeb,ceeb_padded,suspected_counterpart_ceeb,custom_id
3d69b14c-0297-483f-960a-b269400d33dd,Battery Creek High School,Beaufort,410260,410260,041026,0022523
ce8a6aea-45bd-4c5b-b822-28d4541df7de,Belmont High School,Belmont,500180,500180,050018,0026892
ec3eb64b-8379-4a95-a8dd-1b3ec9945191,Benito Cerezo Vazquez HS,Aguadilla,540190,540190,054019,0021780
081d2949-5739-404d-8051-57ca27d8baf5,Berlin Senior High School,Berlin,500200,500200,050020,0027286
18381f08-778a-4ea9-8aaf-879a3801f020,Berwick Academy,South Berwick,200930,200930,020093,0011445
6430534e-2548-4e7f-931f-efb48fa6a709,Big Piney High School,Big Piney,510030,510030,051003,0027651
db2c1635-078c-4c10-a774-489a5f58a6d3,Bishop Kenny High School,Jacksonville,100740,100740,010074,0005000
b7a5841b-a9e3-405e-9edb-421d36c29b26,Bishop Mclaughlin Catholic HS,Spring Hill,101850,101850,010185,2392096
25c109a7-599d-4340-9636-b3776dd89395,Black River Falls High School,Black River Falls,500220,500220,050022,0027165
d5f393a0-cf76-48b8-9752-a6eee5003018,Blackstone Academy,Pawtucket,400100,400100,040010,2393571
d81cf6f4-726d-47ea-ac68-a765f6bbe0fe,Blanca Malaret HS,Sabana Grande,544830,544830,054483,0021915
d9d00917-c7e9-4b0d-808f-5834c6d63e23,Blanche Ely High School,Pompano Beach,101430,101430,010143,0005387
43dc0b21-38cc-4570-935c-1fcec147e353,Bob Jones Academy,Greenville,410890,410890,041089,0022411
f7a9c65b-0138-4af0-8cfe-f054bbccb523,Bonny Eagle High School,Standish,201100,201100,020110,0011472
541593b1-a81c-433d-9e6e-130ba1cc14ab,Booker High School,Sarasota,101570,101570,010157,0005800
59fe3042-6372-4025-8965-ec8b404788f5,Bowdle High School,Bowdle,420130,420130,042013,0022665
4784c181-74f7-4cc1-91bd-f0183a1556fd,Bowler High School,Bowler,500260,500260,050026,0027098
507d6b61-255c-4c97-a149-f30fcf1e1947,Bradley Tech High School,Milwaukee,501340,501340,050134,0026813
111c1ea3-c7d0-4ecd-a273-c63152e309c8,Branchville High School,Branchville,410250,410250,041025,0022292
908695df-1568-4ab4-9d55-2a2b1d857888,Brodhead Senior High School,Brodhead,500280,500280,050028,0026900
3019c985-4737-44d2-adb2-0607cbe59474,Bronson Middle-High School,Bronson,100170,100170,010017,0005186
