,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
region_Midwest,-0.025887804909431506,0.010023400644948364,-0.1432754456923231,-0.015081516814298578,0.6117088889922319,0.3851102591564249,0.23042691875335575,-0.3301418537658872,-0.2094902442476654,0.5000000000000003
region_Northeast,0.24210110664695553,-0.11066620819986721,0.14413196908688863,0.03248810820527885,-0.060083510153415065,-0.025778563426578232,-0.22609718544317872,0.6451290378071032,-0.4309577329894687,0.49999999999999967
region_South,-0.21189372099630352,0.13017012630874156,0.053288413603460656,0.029701349430840306,-0.5723595180690694,-0.32127457256568914,0.20284892797052784,-0.42040417815371783,-0.18903659578849225,0.5
region_West,-0.004319580741220567,-0.0295273187538228,-0.054144936998026416,-0.04710794082182063,0.020734139230253117,-0.0380571231641583,-0.20717866128070567,0.10541699411250238,0.8294845730256265,0.49999999999999983
ap_opportunity,0.14417004186423663,0.374849139206237,0.12190279356251972,-0.374522269783446,-0.4052819568460183,0.7183662620708804,-0.04711760018787025,-0.002105509282723556,0.03237047697650265,3.989697938898577e-17
crdc_coursework,0.24269987860029874,0.5684664342189716,0.0759485461018694,-0.5176865326862408,0.29966039337542094,-0.46713738787072384,-0.1631395653026358,-0.07457065844750459,-0.06313606687983377,-2.1038161871844099e-16
test_participation,-0.027319966974773877,0.6295516687923078,0.16854808017474077,0.7329490693836419,0.0860045161534118,0.06746136388571246,-0.15363549694884995,0.023569053694198372,0.034472357817767384,1.0400251522703416e-16
grad_rate,0.0805147670152047,0.21758909125357864,-0.03872273064920716,-0.00933482669360008,-0.00016142673050382117,-0.07793807116878718,0.8570060183375009,0.4216735266052495,0.16199852869422698,4.7102804931379545e-17
funding,0.7654328271415322,-0.23411844675160068,0.44487362351452314,0.16753643387124403,-0.023566796121247503,-0.02943796132704734,0.14170891247636896,-0.3161213513432021,0.10901389982338905,-1.1858375321137022e-16
poverty,-0.47222305611778737,-0.08762802090507793,0.8393318021438916,-0.14825495528598803,0.1793735539091941,0.024504297766686608,0.06880137571590746,0.055681926473969814,0.047538097130280954,-1.5387614618624732e-16
