name,school_id,offers_pyp,offers_myp,offers_dp,offers_cp,programmes,offers_any_ib,languages,ibo_url
Anita J. Turner Elementary School,49582,t,f,f,f,PYP,t,English,https://ibo.org/school/049582/
Annabel C. Perry PK-8,6902,t,f,f,f,PYP,t,English,https://ibo.org/school/006902/
Annandale High School,1272,f,t,t,f,"MYP, DP",t,English,https://ibo.org/school/001272/
Annapolis High School,2340,f,t,t,t,"MYP, DP, CP",t,English,https://ibo.org/school/002340/
Annapolis Middle School,3622,f,t,f,f,MYP,t,English,https://ibo.org/school/003622/
Annie Wright Schools,3923,t,t,t,f,"PYP, MYP, DP",t,English,https://ibo.org/school/003923/
Annunciation Catholic School,51701,t,f,f,f,PYP,t,English,https://ibo.org/school/051701/
Annunciation Catholic School DC,62364,t,f,f,f,PYP,t,"English, Spanish",https://ibo.org/school/062364/
Antelope Trails Elementary,3014,t,f,f,f,PYP,t,English,https://ibo.org/school/003014/
Antietam Elementary School,50117,t,f,f,f,PYP,t,English,https://ibo.org/school/050117/
Antioch High School,50270,f,f,t,t,"DP, CP",t,English,https://ibo.org/school/050270/
Anwatin Middle School,3386,f,t,f,f,MYP,t,"English, Spanish",https://ibo.org/school/003386/
Aquila Elementary School,3596,t,f,f,f,PYP,t,English,https://ibo.org/school/003596/
Archbishop Spalding High School,48013,f,f,t,f,DP,t,English,https://ibo.org/school/048013/
Arlington High School,2770,f,f,t,f,DP,t,English,https://ibo.org/school/002770/
Armijo High School,1317,f,f,t,f,DP,t,English,https://ibo.org/school/001317/
Arroyo Elementary School,49014,t,t,f,f,"PYP, MYP",t,"English, Spanish",https://ibo.org/school/049014/
Arroyo Valley High School,3352,f,t,t,f,"MYP, DP",t,English,https://ibo.org/school/003352/
Arthur I. Meyer Jewish Preparatory,3927,f,t,f,f,MYP,t,English,https://ibo.org/school/003927/
Arthur Kramer Elementary IB World School,51613,t,f,f,f,PYP,t,English,https://ibo.org/school/051613/
Ashley Hall,62636,t,f,f,f,PYP,t,"English, French",https://ibo.org/school/062636/
Aspen Elementary School,62362,t,f,f,f,PYP,t,English,https://ibo.org/school/062362/
Aspen High School,1277,f,t,t,f,"MYP, DP",t,English,https://ibo.org/school/001277/
Aspen Middle School,62363,f,t,f,f,MYP,t,English,https://ibo.org/school/062363/
Atherton High School,435,f,f,t,f,DP,t,English,https://ibo.org/school/000435/
Atlanta International School,582,t,t,t,t,"PYP, MYP, DP, CP",t,"English, French",https://ibo.org/school/000582/
Atlanta Neighborhood Charter School,51430,f,t,f,f,MYP,t,"English, Spanish",https://ibo.org/school/051430/
Atlantic Community High School,530,f,t,t,t,"MYP, DP, CP",t,English,https://ibo.org/school/000530/
Atlee High School,1191,f,f,t,f,DP,t,English,https://ibo.org/school/001191/
Auburn High School,939,f,f,t,f,DP,t,English,https://ibo.org/school/000939/
Austin Academy for Excellence,61215,f,t,f,f,MYP,t,English,https://ibo.org/school/061215/
Austin Elementary,60969,t,f,f,f,PYP,t,"English, Spanish",https://ibo.org/school/060969/
Austin International School,63390,f,t,f,f,MYP,t,"English, French",https://ibo.org/school/063390/
Avondale Elementary School,2556,t,f,f,f,PYP,t,English,https://ibo.org/school/002556/
Awty International School,436,f,f,t,f,DP,t,English,https://ibo.org/school/000436/
Aynor High School,1312,f,f,t,f,DP,t,English,https://ibo.org/school/001312/
Baccalaureate School for Global Education,2285,f,f,t,f,DP,t,English,https://ibo.org/school/002285/
Back of the Yards College Preparatory High School,50253,f,t,t,t,"MYP, DP, CP",t,"English, Spanish",https://ibo.org/school/050253/
Baker Middle School,4578,f,t,f,f,MYP,t,English,https://ibo.org/school/004578/
Baldwin High School,62742,f,f,t,f,DP,t,"English, Spanish",https://ibo.org/school/062742/
Ballantyne Ridge High School,63875,f,f,t,f,DP,t,English,https://ibo.org/school/063875/
Balmoral Ridgeway Elementary,6618,t,f,f,f,PYP,t,English,https://ibo.org/school/006618/
Baltimore City College,1014,f,t,t,f,"MYP, DP",t,English,https://ibo.org/school/001014/
Baltimore International Academy,4842,t,t,f,f,"PYP, MYP",t,English,https://ibo.org/school/004842/
Baltimore International Academy West,61380,f,t,f,f,MYP,t,"English, Spanish",https://ibo.org/school/061380/
Bancroft Elementary School,6838,t,f,f,f,PYP,t,English,https://ibo.org/school/006838/
Bannon Creek School,61939,t,f,f,f,PYP,t,English,https://ibo.org/school/061939/
Barack and Michelle Obama Academy,62577,t,f,f,f,PYP,t,English,https://ibo.org/school/062577/
Barack Obama Academy of International Studies,6563,f,t,t,f,"MYP, DP",t,English,https://ibo.org/school/006563/
Barack Obama Elementary School,60945,t,f,f,f,PYP,t,"English, Spanish",https://ibo.org/school/060945/
Barack Obama Elementary School,2248,t,f,f,f,PYP,t,English,https://ibo.org/school/002248/
Barry Goldwater High School,1131,f,t,t,t,"MYP, DP, CP",t,English,https://ibo.org/school/001131/
Basic Academy of International Studies,50613,f,t,t,t,"MYP, DP, CP",t,English,https://ibo.org/school/050613/
Bay Port High School,6532,f,f,t,f,DP,t,English,https://ibo.org/school/006532/
Bay Shore High School,3928,f,f,t,f,DP,t,English,https://ibo.org/school/003928/
Beacon Academy,50937,f,f,t,f,DP,t,English,https://ibo.org/school/050937/
Beacon Hill Middle School,4082,f,t,f,f,MYP,t,English,https://ibo.org/school/004082/
Bearden Middle School,50942,f,t,f,f,MYP,t,English,https://ibo.org/school/050942/
Beaumont School,51012,f,f,t,f,DP,t,English,https://ibo.org/school/051012/
Bedford High School,3321,f,f,t,f,DP,t,English,https://ibo.org/school/003321/
Beecher Hills Elementary School,4104,t,f,f,f,PYP,t,English,https://ibo.org/school/004104/
Beechwood School,3124,f,t,f,f,MYP,t,English,https://ibo.org/school/003124/
Bel Aire Park Magnet School,49146,t,f,f,f,PYP,t,English,https://ibo.org/school/049146/
BELA Charter School,60012,f,t,t,f,"MYP, DP",t,English,https://ibo.org/school/060012/
Belding School,61153,f,t,f,f,MYP,t,"English, Spanish",https://ibo.org/school/061153/
Bellaire High School,139,f,f,t,f,DP,t,English,https://ibo.org/school/000139/
Bellevue Children's Academy,51663,t,f,f,f,PYP,t,English,https://ibo.org/school/051663/
Bellevue Middle School,2568,f,t,f,f,MYP,t,English,https://ibo.org/school/002568/
Belvedere Elementary School,50302,t,f,f,f,PYP,t,English,https://ibo.org/school/050302/
Ben L. Smith High School,1500,f,f,t,f,DP,t,English,https://ibo.org/school/001500/
Bend Senior High School,6208,f,f,t,f,DP,t,English,https://ibo.org/school/006208/
