ceeb,school_name,state,latitude,longitude,us_region,is_school_match,is_public_hs,is_private_hs,sector,has_nu_analytics,has_nu_data,crime_risk_need,crime_risk_adv,educational_attainment_need,educational_attainment_adv,family_stability_need,family_stability_adv,housing_stability_need,housing_stability_adv,median_family_income_need,median_family_income_adv,socio_need_index,ap_offered,ap_tests_taken,ap_participation,ap_intensity_src,dual_enrollment_offered,dual_enrollment_rate,testtaker_rate,sat_participation_nu,sat_score_nu,grad_rate_2021,frl_rate,enrollment_9_12,grade_9,grade_10,grade_11,grade_12,child_poverty_saipe,per_pupil_state_local,leaid,district_total_revenue,per_resident_child_funding_total,per_resident_child_funding_state_local,funding_source,percent_going_to_college_mid,percent_going_to_4yr_college_mid,percent_federal_lunch_aid_mid,percent_first_gen_college_mid,number_of_ap_classes_offered_mid,size_of_senior_class_mid,ap_capstone,setting,ib_flag_candidate,meets_min_size,rigor_score,rigor_tier_num,rigor_tier_label,rigor_n_components_used,rigor_components_available,rigor_weighting_scheme,funding_tier,sat_percentile_by_us_region,sat_percentile_by_funding_tier,sat_percentile_by_rigor_tier_label
070800,Trumbull High School,CT,41.2564,-73.2111,US - Northeast,True,True,False,public,True,True,6.0,94.0,8.0,92.0,13.0,87.0,36.0,64.0,5.0,95.0,13.6,1,3.65,0.3303903345724907,nu_tests_taken,1,0.2109665427509293,0.2281598513011152,98.0,1170.0,99.5,21.561338289962823,2152.0,534.0,518.0,563.0,537.0,14.3,,9046200.0,,,,none,82.5,74.5,,,25.0,300.5,0,Suburban community,0,True,0.7332010354698372,4.0,Most Demanding,3,ap+crdc_coursework+test_participation,designed,,60.275743214131836,,45.80152671755725
070805,Farmington High School,CT,41.7918,-72.7188,US - Northeast,True,True,False,public,True,True,11.0,89.0,6.0,94.0,8.0,92.0,36.0,64.0,9.0,91.0,14.0,1,4.92,0.4195083267248216,nu_tests_taken,1,0.2490087232355273,0.3283108643933386,96.0,1190.0,98.0,20.77716098334655,1261.0,291.0,318.0,325.0,327.0,13.9,,9015600.0,,,,none,82.5,74.5,,,25.0,300.5,0,Suburban community,0,True,1.1391621485694376,4.0,Most Demanding,3,ap+crdc_coursework+test_participation,designed,,70.31451960361913,,59.13910093299406
070807,Lewis S. Mills High School,CT,41.7573,-72.9444,US - Northeast,True,True,False,public,True,True,2.0,98.0,13.0,87.0,14.0,86.0,3.0,97.0,7.0,93.0,7.8,1,3.29,0.262214983713355,nu_tests_taken,1,0.0879478827361563,0.2785016286644951,89.0,1140.0,99.5,14.82084690553746,614.0,136.0,138.0,162.0,178.0,9.3,,9035200.0,,,,none,82.5,64.5,,,13.0,300.5,0,Rural area,0,True,0.1988328800530363,3.0,Very Demanding,3,ap+crdc_coursework+test_participation,designed,,39.65962947005601,,43.41692789968652
070810,CHOATE ROSEMARY HALL,CT,41.46,-72.8222,US - Northeast,True,False,True,private,True,True,44.0,56.0,12.0,88.0,22.0,78.0,52.0,48.0,7.0,93.0,27.4,1,3.41,,nu_tests_taken,0,,,76.0,1390.0,,,842.0,170.0,215.0,227.0,230.0,13.2,,,,,,none,95.0,95.0,,,25.0,300.5,0,Suburban community,0,True,0.7012864752128581,4.0,Most Demanding,2,ap+test_participation,designed,,99.00904782421371,,99.40627650551315
070812,Heritage Baptist Academy,,41.46,-72.8222,US - Northeast,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,0,,,,,,,,,,,,,,,,,,none,82.5,,,,,50.0,0,Small city/town,0,True,,,,0,none,designed,,,,
070813,Mark T. Sheehan High School,CT,41.46,-72.8222,US - Northeast,True,True,False,public,True,True,28.0,72.0,24.0,76.0,6.0,94.0,40.0,60.0,19.0,81.0,23.4,1,3.22,0.237741456166419,nu_tests_taken,1,0.1456166419019316,0.2421991084695393,98.0,1110.0,97.5,31.50074294205052,673.0,137.0,186.0,174.0,176.0,13.2,,9047400.0,,,,none,63.0,,,,,300.5,0,Medium city,0,True,0.3125381915939629,3.0,Very Demanding,3,ap+crdc_coursework+test_participation,designed,,19.06505816458423,,20.924764890282134
070814,High Road Student Learning Ctr,,41.4762725830078,-72.8059463500977,US - Northeast,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,0,,,,,,,,,,,,,,,,,,none,,,,,,50.0,0,Small city/town,0,True,,,,0,none,designed,,,,
070815,Lyman Hall High School,CT,41.46,-72.8222,US - Northeast,True,True,False,public,True,True,15.0,85.0,22.0,78.0,21.0,79.0,47.0,53.0,22.0,78.0,25.4,1,2.72,0.2072649572649572,nu_tests_taken,1,0.1367521367521367,0.2126068376068376,89.0,1110.0,96.0,35.79059829059829,936.0,239.0,234.0,237.0,226.0,13.2,,9047400.0,,,,none,,,,,,300.5,0,Small city/town,0,True,0.0626744461031433,3.0,Very Demanding,3,ap+crdc_coursework+test_participation,designed,,19.06505816458423,,20.924764890282134
070816,East Windsor High School,CT,41.9002723693848,-72.6096267700195,US - Northeast,True,True,False,public,True,True,66.0,34.0,25.0,75.0,32.0,68.0,61.0,39.0,24.0,76.0,41.6,1,2.89,0.2432432432432432,nu_tests_taken,0,,0.4555984555984556,100.0,1100.0,95.0,62.16216216216216,259.0,63.0,72.0,63.0,61.0,13.9,,9013500.0,,,,none,63.0,,,,,50.0,0,Small city/town,0,True,0.5285418227060394,4.0,Most Demanding,3,ap+crdc_coursework+test_participation,designed,,14.110297285652736,,9.690415606446141
070825,Shepaug Valley School,CT,41.6296,-73.2884,US - Northeast,True,True,False,public,True,True,26.0,74.0,12.0,88.0,36.0,64.0,25.0,75.0,11.0,89.0,22.0,1,4.25,0.2073863636363636,nu_tests_taken,1,0.25,0.25,71.0,1200.0,95.0,18.31275720164609,352.0,90.0,74.0,105.0,83.0,9.3,,9035300.0,,,,none,95.0,95.0,,,25.0,50.0,0,Rural area,0,True,0.6115931698031447,4.0,Most Demanding,3,ap+crdc_coursework+test_participation,designed,,73.73976734166308,,65.09754028837999
