destinationtable,rcdts,level,school_name,district,city,county,district_type,school_type,grades_served,summative_designation,summative_designation_student_group_s,title_i_status,state_senate_district,state_house_district,ebf_tier,pct_ebf_capacity_to_meet_expectations,count_school_enrollment,site_level_per_pupil_expenditures_federal,site_level_per_pupil_expenditures_state_local,site_level_per_pupil_expenditures_subtotal,district_centralized_per_pupil_expenditure_federal,district_centralized_per_pupil_expenditure_state_local,district_centralized_per_pupil_expenditure_subtotal,total_per_pupil_expenditures_federal,total_per_pupil_expenditures_state_local,total_per_pupil_expenditures_subtotal,exclusions,total_expenditures_sber,local_property_taxes,pct_local_property_taxes,other_local_funding,pct_other_local_funding,evidence_based_funding,pct_evidence_based_funding,other_state_funding,pct_other_state_funding,federal_funding,pct_federal_funding,total_revenue_source,eav_per_pupil,total_school_tax_rate_per_100,instructional_expenditure_per_pupil,operating_expenditures,instruction,pct_instruction,general_admin,pct_general_admin,supporting_services,pct_supporting_services,other_expenditures,pct_other_expenditures,education_fund,pct_education_fund,operations_b_m,pct_operations_b_m,transportation,pct_transportation,debt_service,pct_debt_service,tort,pct_tort,munic_ret_soc_security,pct_munic_ret_soc_security,fire_prev_safety,pct_fire_prev_safety,capital_projects_fund,pct_capital_projects_fund,total_expenditures_afr,per_pupil_pension_obligation_amount,total_pension_obligation_amount
Finance1,06-016-0990-02-2004,School,Drexel Elem School,Cicero SD 99,Cicero,Cook,Elementary District,Elementary School,K - 6,Commendable,All Students,Title 1 Schoolwide,1,2,,,393.2,910.55,19089.51,20000.06,1058.19,3433.54,4491.73,1968.74,22523.05,24491.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,06-016-0990-02-2005,School,Goodwin Elementary School,Cicero SD 99,Cicero,Cook,Elementary District,Elementary School,PK - 6,Targeted,Children with Disabilities,Title 1 Schoolwide,1,2,,,531.85,995.7,15545.35,16541.05,1067.54,3602.57,4670.1,2063.23,19147.92,21211.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,06-016-0990-02-2013,School,Liberty Elem School,Cicero SD 99,Cicero,Cook,Elementary District,Elementary School,PK - 3,Commendable,All Students,Title 1 Schoolwide,12,23,,,475.5,795.39,15958.87,16754.26,1068.69,3452.51,4521.2,1864.08,19411.38,21275.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,06-016-0990-02-2009,School,Sherlock Elem School,Cicero SD 99,Cicero,Cook,Elementary District,Elementary School,PK - 6,Commendable,All Students,Title 1 Schoolwide,1,2,,,587.46,812.97,11726.23,12539.2,1061.57,3332.36,4393.93,1874.55,15058.59,16933.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,06-016-0990-02-2008,School,T Roosevelt Elem School,Cicero SD 99,Cicero,Cook,Elementary District,Elementary School,3 - 6,Commendable,All Students,Title 1 Schoolwide,1,2,,,443.88,675.44,14562,15237.43,1057.23,3525.13,4582.37,1732.67,18087.13,19819.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,06-016-0990-02-1002,School,Unity Jr High School,Cicero SD 99,Cicero,Cook,Elementary District,Middle/Junior High School,7 - 8,Targeted,"Black/African American, Children with Disabilities",Title 1 Schoolwide,1,2,,,1850.35,898.01,15518.01,16416.02,1055.18,4208.97,5264.15,1953.19,19726.98,21680.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,06-016-0990-02-2012,School,Warren Park School,Cicero SD 99,Cicero,Cook,Elementary District,Elementary School,PK - 6,Commendable,All Students,Title 1 Schoolwide,4,8,,,697.3,763.85,12386.76,13150.61,1058.26,3184.04,4242.3,1822.12,15570.8,17392.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,06-016-0990-02-2010,School,Woodrow Wilson Elem School,Cicero SD 99,Cicero,Cook,Elementary District,Elementary School,K - 6,Commendable,All Students,Title 1 Schoolwide,1,2,,,605.05,496.2,12280.07,12776.27,1051.44,2747.48,3798.92,1547.64,15027.55,16575.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,32-038-0060-26-0000,District,,Cissna Park CUSD 6,Cissna Park,Iroquois,Unit District,,,,,,53,106,1,76,284.675,0,5812.6,5812.6,439.6,8362.12,8801.71,439.6,14174.72,14614.31,219019,4379348.71,2607733,60.3,418142,9.7,824538,19.1,227619,5.3,244546,5.7,4322578,182144,5.08,7576.29,13297.83,2005595,49.5,356565,8.8,1154042,28.5,537567,13.3,3096790,76.4,475351,11.7,216517,5.3,90812,2.2,101568,2.5,72731,1.8,0,0,0,0,4053769,738.85,209832.32
Finance1,32-038-0060-26-2001,School,Cissna Park Elementary School,Cissna Park CUSD 6,Cissna Park,Iroquois,Unit District,Elementary School,K - 5,Commendable,All Students,Title 1 Targeted,53,106,,,128.75,0,4638.51,4638.51,439.6,8362.12,8801.71,439.6,13000.62,13440.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
