cluster,size,top_control,top_degree,top_urbanicity,top_region,med_ugds,med_net_price,mean_pct_pell,mean_adm_rate,mean_sat_avg,mean_completion
0,1237,public,associate,City,South,4546,10176.0,0.327,0.775,1136.0,0.475
1,1056,private nonprofit,bachelor's,City,Northeast,1282,23720.0,0.335,0.671,1228.0,0.599
