source_id,source_name,state,source_city,CEEB,nu_name,nu_city,name_score_set,name_score_sort,city_match,tier,needs_review
13-058-6000-16-0001,Salem Community High School,IL,SALEM,143820,Salem Community High School,SALEM,100.0,100.0,True,auto_accept,False
13-058-1110-02-2005,Franklin Park Middle School,IL,SALEM,141950,Franklin High School,FRANKLIN,85.71428571428571,72.34042553191489,False,review,True
13-058-1110-02-2004,Hawthorn Elem School,IL,SALEM,141844,Cove School,NORTHBROOK,70.58823529411765,51.61290322580645,False,reject,False
19-022-0480-02-1003,John E Albright Middle School,IL,VILLA PARK,140108,Middle Fork School,DANVILLE,83.87096774193549,63.829787234042556,False,reject,False
19-022-0480-02-2001,Salt Creek Elem School,IL,ELMHURST,140197,Salt School,KANKAKEE,100.0,66.66666666666667,False,review,True
19-022-0480-02-2002,Stella May Swartz Elem School,IL,OAKBROOK TERRACE,141844,Cove School,NORTHBROOK,70.58823529411765,40.0,False,reject,False
54-092-5120-26-0001,Salt Fork High School,IL,CATLIN,140571,Salt Fork High School,CATLIN,100.0,100.0,True,auto_accept,False
54-092-5120-26-1001,Salt Fork Junior High School,IL,SIDELL,140571,Salt Fork High School,CATLIN,100.0,85.71428571428572,False,auto_accept,False
54-092-5120-26-2001,Salt Fork North Elementary School,IL,CATLIN,140197,Salt School,KANKAKEE,100.0,50.0,False,reject,False
54-092-5120-26-2002,Salt Fork South Elementary School,IL,SIDELL,140197,Salt School,KANKAKEE,100.0,50.0,False,reject,False
13-058-5010-26-2002,Sandoval Elem School,IL,SANDOVAL,143825,Sandoval Senior High School,SANDOVAL,85.71428571428571,68.08510638297872,True,review,True
13-058-5010-26-1002,Sandoval Jr High School,IL,SANDOVAL,143825,Sandoval Senior High School,SANDOVAL,93.02325581395348,80.0,True,auto_accept,False
13-058-5010-26-0001,Sandoval Sr High School,IL,SANDOVAL,143825,Sandoval Senior High School,SANDOVAL,93.02325581395348,92.0,True,auto_accept,False
07-016-1720-02-2001,Sandridge Elem School,IL,LYNWOOD,141844,Cove School,NORTHBROOK,70.58823529411765,50.0,False,reject,False
16-019-4300-26-2007,Herman E Dummer,IL,SANDWICH,141555,Schlarman Academy,DANVILLE,50.0,50.0,False,reject,False
16-019-4300-26-2003,Lynn G Haskin Elementary School,IL,SANDWICH,141844,Cove School,NORTHBROOK,70.58823529411765,38.095238095238095,False,reject,False
16-019-4300-26-2006,Prairie View Elem School,IL,SANDWICH,141870,Prairie Central High School,FAIRBURY,74.50980392156863,66.66666666666667,False,reject,False
16-019-4300-26-0001,Sandwich Community High School,IL,SANDWICH,140070,Antioch Community High School,ANTIOCH,91.52542372881356,71.1864406779661,False,review,True
16-019-4300-26-1001,Sandwich Middle School,IL,SANDWICH,140108,Middle Fork School,DANVILLE,83.87096774193549,65.0,False,review,True
16-019-4300-26-2004,W W Woodbury Elem School,IL,SANDWICH,141844,Cove School,NORTHBROOK,70.58823529411765,45.714285714285715,False,reject,False
39-055-0090-26-0001,Sangamon Valley High School,IL,NIANTIC,143186,Sangamon Valley High School,NIANTIC,100.0,100.0,True,auto_accept,False
39-055-0090-26-2002,Sangamon Valley Intermediate School,IL,ILLIOPOLIS,143186,Sangamon Valley High School,NIANTIC,89.79591836734694,77.41935483870968,False,review,True
39-055-0090-26-1001,Sangamon Valley Middle School,IL,ILLIOPOLIS,143186,Sangamon Valley High School,NIANTIC,89.79591836734694,85.71428571428572,False,review,True
39-055-0090-26-2001,Sangamon Valley Primary School,IL,HARRISTOWN,143186,Sangamon Valley High School,NIANTIC,89.79591836734694,84.21052631578947,False,review,True
24-032-060C-04-2001,Saratoga Elem School,IL,MORRIS,141844,Cove School,NORTHBROOK,70.58823529411765,51.61290322580645,False,reject,False
17-053-4380-04-2001,Saunemin Elem School,IL,SAUNEMIN,141844,Cove School,NORTHBROOK,70.58823529411765,51.61290322580645,False,reject,False
08-043-2110-26-2001,Scales Mound Elem School,IL,SCALES MOUND,143855,Scales Mound High School,SCALES MOUND,88.37209302325581,83.33333333333334,True,auto_accept,False
08-043-2110-26-0002,Scales Mound High School,IL,SCALES MOUND,143855,Scales Mound High School,SCALES MOUND,100.0,100.0,True,auto_accept,False
08-043-2110-26-1001,Scales Mound Jr High School,IL,SCALES MOUND,143855,Scales Mound High School,SCALES MOUND,100.0,94.11764705882352,True,auto_accept,False
05-016-0540-04-2028,Adlai Stevenson Elem School,IL,ELK GROVE VILLAGE,143550,Adlai E Stevenson High School,LINCOLNSHIRE,89.79591836734694,85.71428571428572,False,review,True
05-016-0540-04-2023,Adolph Link Elem School,IL,ELK GROVE VILLAGE,141844,Cove School,NORTHBROOK,70.58823529411765,52.94117647058824,False,reject,False
05-016-0540-04-2026,Albert Einstein Elem School,IL,HANOVER PARK,141844,Cove School,NORTHBROOK,70.58823529411765,42.10526315789473,False,reject,False
05-016-0540-04-2011,Anne Fox Elem School,IL,HANOVER PARK,143785,Saint Anne Community HS,ST. ANNE,70.96774193548387,57.14285714285714,False,reject,False
05-016-0540-04-2002,Buzz Aldrin Elem School,IL,SCHAUMBURG,141844,Cove School,NORTHBROOK,70.58823529411765,47.05882352941176,False,reject,False
05-016-0540-04-2005,Campanelli Elem School,IL,SCHAUMBURG,141844,Cove School,NORTHBROOK,70.58823529411765,54.54545454545454,False,reject,False
05-016-0540-04-1018,Dwight D Eisenhower JHS,IL,HOFFMAN ESTATES,140345,Dwight D Eisenhower HS,BLUE ISLAND,90.47619047619048,81.4814814814815,False,review,True
05-016-0540-04-2031,Elizabeth Blackwell Elem School,IL,SCHAUMBURG,141844,Cove School,NORTHBROOK,70.58823529411765,42.85714285714286,False,reject,False
05-016-0540-04-2030,Enders-Salk Elem School,IL,SCHAUMBURG,141844,Cove School,NORTHBROOK,70.58823529411765,47.05882352941176,False,reject,False
05-016-0540-04-2008,Everett Dirksen Elementary Sch,IL,SCHAUMBURG,140333,Elim Christian Schl-Intensive,CRESTWOOD,54.23728813559322,54.23728813559322,False,reject,False
05-016-0540-04-2010,Fairview Elem School,IL,HOFFMAN ESTATES,141844,Cove School,NORTHBROOK,70.58823529411765,58.06451612903225,False,reject,False
05-016-0540-04-2029,Frederick Nerge Elem School,IL,ROSELLE,141844,Cove School,NORTHBROOK,70.58823529411765,47.36842105263158,False,reject,False
05-016-0540-04-2013,Hanover Highlands Elem School,IL,HANOVER PARK,141778,Elk Grove High School,ELK GROVE VLG,72.0,72.0,False,reject,False
05-016-0540-04-1020,Helen Keller JHS,IL,SCHAUMBURG,143996,Stelle Learning Center,STELLE,52.63157894736842,52.63157894736843,False,reject,False
05-016-0540-04-2027,Hoover Math and Science Academy,IL,SCHAUMBURG,141602,Science & Arts Academy,DES PLAINES,88.37209302325581,80.0,False,review,True
05-016-0540-04-1001,Jane Addams JHS,IL,SCHAUMBURG,140892,Jane Addams High School,CHICAGO,84.61538461538461,68.42105263157895,False,review,True
05-016-0540-04-2022,John Muir Literacy Academy,IL,HOFFMAN ESTATES,140652,Cs Academy,CHICAGO,82.35294117647058,50.0,False,reject,False
05-016-0540-04-2018,Lakeview Elem School,IL,HOFFMAN ESTATES,140930,Lake View High School,CHICAGO,78.04878048780488,58.53658536585367,False,reject,False
05-016-0540-04-2032,Lincoln Prairie School,IL,HOFFMAN ESTATES,141100,Lincoln Park High School,CHICAGO,78.26086956521739,78.26086956521739,False,reject,False
05-016-0540-04-2019,MacArthur International Spanish Academy,IL,HOFFMAN ESTATES,141005,Chicago International Academy,CHICAGO,84.0,61.76470588235294,False,reject,False
05-016-0540-04-1019,Margaret Mead JHS,IL,ELK GROVE VILLAGE,140189,Harvest Christian Learning Ctr,NORTH AURORA,46.808510638297875,46.808510638297875,False,reject,False
05-016-0540-04-2007,Michael Collins Elem School,IL,SCHAUMBURG,140841,Collins HS,CHICAGO,84.84848484848484,73.91304347826086,False,review,True
05-016-0540-04-2015,Nathan Hale Elem School,IL,SCHAUMBURG,141844,Cove School,NORTHBROOK,70.58823529411765,47.05882352941176,False,reject,False
05-016-0540-04-2003,Neil Armstrong Elem School,IL,HOFFMAN ESTATES,140105,Armstrong Township High School,ARMSTRONG,76.19047619047619,64.28571428571428,False,reject,False
