ceeb,org_name,sc_instnm,state,region,urbanicity,latitude,longitude,sc_control,sc_preddeg,iclevel,carnegie_basic,sc_ugds,sc_tuition_in,net_price,sc_pct_pell,sc_adm_rate,sc_sat_avg,sc_completion_150_4yr,cluster,cluster_fine,pca_1,pca_2
002906,Temple University,Temple University,PA,Northeast,4.0,39.980546,-75.156859,1.0,3.0,1.0,15.0,21249.0,22082.0,29219.0,0.3007,0.8292,,0.7468,0.0,0.0,0.02179065836141386,1.9533065239081189
001804,Tennessee Technological University,Tennessee Technological University,TN,South,2.0,36.174754,-85.504039,1.0,3.0,1.0,16.0,8495.0,10084.0,14207.0,0.3103,0.8316,1148.0,0.5423,0.0,3.0,-1.3504553657426432,0.33322955356833395
001805,Tennessee Wesleyan University,Tennessee Wesleyan University,TN,South,2.0,35.446331,-84.592728,2.0,3.0,1.0,22.0,832.0,29264.0,14879.0,0.3843,0.5941,1051.0,0.4363,1.0,5.0,0.6669444793647192,-1.3658680164998986
006819,Texarkana College,Texarkana College,TX,South,4.0,33.441868,-94.078,1.0,2.0,2.0,9.0,1609.0,2476.0,7236.0,0.2826,,,,0.0,0.0,-1.4333701490205726,0.2808406081728372
000359,Texas A&M International University,Texas A & M International University,TX,South,4.0,27.571172,-99.436043,1.0,3.0,1.0,18.0,6502.0,7846.0,3061.0,0.6333,0.4596,1008.0,0.4892,0.0,0.0,-1.9810649825580455,-0.2881333143381098
006003,Texas A&M University,Texas A&M University-College Station,TX,South,4.0,30.618726,-96.336475,1.0,3.0,1.0,15.0,59099.0,13099.0,20924.0,0.1923,0.6325,1272.0,0.8378,0.0,0.0,-0.8748446813969417,2.6326820912362314
006835,Texas A&M University at Galveston,The University of Texas Medical Branch at Galveston,TX,South,4.0,29.310758,-94.775956,1.0,3.0,1.0,27.0,559.0,,,0.2051,,,,,,,
006822,Texas A&M University at Kingsville,Texas A&M University-Kingsville,TX,South,2.0,27.525168,-97.882387,1.0,3.0,1.0,16.0,4622.0,9892.0,10204.0,0.5455,0.9229,1030.0,0.4559,0.0,3.0,-1.6556455488475057,-0.8513333870567618
000366,Texas A&M University Corpus Christi,Texas A & M University-Corpus Christi,TX,South,4.0,27.713723,-97.32395,1.0,3.0,1.0,16.0,7804.0,9748.0,15137.0,0.3965,0.8947,1086.0,0.3374,0.0,0.0,-1.1261602585905808,0.8139045683128353
006821,Texas College,Texas College,TX,South,4.0,32.37456,-95.312454,2.0,3.0,1.0,22.0,644.0,10008.0,10650.0,0.8536,,,0.1069,1.0,1.0,-0.21889369802950603,-2.5095722982099473
