k,gap,sk,log_wk
2,2.4268291576901007,0.004090016243095136,9.700429146461
3,2.4805623340954153,0.002630716426294141,9.522037366989142
4,2.501654618029768,0.004807273314576148,9.40385469059326
5,2.514864256049881,0.005117419700529786,9.330631284108525
6,2.5336129643458385,0.004827412401973901,9.26188280227433
7,2.5530233176782477,0.004020846361544032,9.198278314082591
8,2.5640801101270068,0.006204333519788517,9.14023031955731
