source_id,source_name,state,source_city,CEEB,nu_name,nu_city,name_score_set,name_score_sort,city_match,tier,needs_review
00342656,NAZARETH ACADEMY,IL,LA GRANGE PARK,142485,nazareth academy,LA GRANGE PARK,100,100,t,auto_accept,f
00347712,NEWMAN CENTRAL CATHOLIC HIGH SCHOOL,IL,STERLING,140454,Central High School,BURLINGTON,100,70.37037037037037,f,review,t
00344427,OUR LADY OF TEPEYAC HIGH SCHOOL,IL,CHICAGO,141055,Senn High School,CHICAGO,81.48148148148148,55.319148936170215,t,reject,f
00347304,PEORIA NOTRE DAME HIGH SCHOOL,IL,PEORIA,143435,Peoria High School,PEORIA,100,76.59574468085107,t,review,t
00346763,PROVIDENCE CATHOLIC HIGH SCHOOL,IL,NEW LENOX,142375,providence catholic hs,NEW LENOX,100,100,t,auto_accept,f
00341222,REGINA DOMINICAN HS,IL,WILMETTE,144407,regina dominican high school,WILMETTE,100,100,t,auto_accept,f
00343875,RESURRECTION COLLEGE PREP HIGH SCHOOL,IL,CHICAGO,140901,Hope College Prep High School,CHICAGO,90.56603773584905,75.75757575757575,t,review,t
A0103067,ROCHELLE ZELL JEWISH HIGH SCHOOL,IL,DEERFIELD,143009,rochelle zell jewish high sch,DEERFIELD,95.08196721311475,95.08196721311475,t,auto_accept,f
00348046,ROSARY HIGH SCHOOL,IL,AURORA,140182,rosary high school,AURORA,100,100,t,auto_accept,f
00348363,ROUTT CATHOLIC HIGH SCHOOL,IL,JACKSONVILLE,142355,routt catholic high school,JACKSONVILLE,100,100,t,auto_accept,f
00348829,SACRED HEART GRIFFIN HIGH SCHOOL,IL,SPRINGFIELD,143965,sacred heart griffin hs,SPRINGFIELD,100,100,t,auto_accept,f
BB911477,SOUTH CENTRAL COMMUNITY SERVICES - SOUTH SHORE,IL,CHICAGO,140190,Central Community High School,BREESE,73.91304347826087,65.75342465753424,f,reject,f
00348942,ST ANTHONY HIGH SCHOOL,IL,EFFINGHAM,140495,Canton High School,CANTON,85,85,f,review,t
00347166,ST BEDE ACADEMY,IL,PERU,143465,saint bede academy,PERU,100,100,t,auto_accept,f
00348217,ST EDWARD CENTRAL CATHOLIC HIGH SCHOOL,IL,ELGIN,140454,Central High School,BURLINGTON,100,66.66666666666667,f,review,t
00341368,ST FRANCIS DE SALES HIGH SCHOOL,IL,CHICAGO,141055,Senn High School,CHICAGO,81.48148148148148,55.319148936170215,t,reject,f
00346785,ST FRANCIS HIGH SCHOOL,IL,WHEATON,141055,Senn High School,CHICAGO,81.48148148148148,68.42105263157895,f,review,t
01601838,ST IGNATIUS COLLEGE PREP,IL,CHICAGO,141170,saint ignatius college prep,CHICAGO,100,100,t,auto_accept,f
00344755,ST LAURENCE H.S.,IL,BURBANK,143237,saint laurence high school,BURBANK,100,100,t,auto_accept,f
00339825,ST RITA OF CASCIA HIGH SCHOOL,IL,CHICAGO,141055,Senn High School,CHICAGO,81.48148148148148,57.77777777777777,t,reject,f
A9303202,THE CHICAGO ACADEMY FOR THE ARTS,IL,CHICAGO,140627,chicago academy for arts,CHICAGO,100,85.71428571428572,t,auto_accept,f
A0103176,THE HIGH SCHOOL OF SAINT THOMAS MORE,IL,CHAMPAIGN,140599,high school saint thomas more,CHAMPAIGN,100,88.13559322033898,t,auto_accept,f
A2101694,THRESHOLDS,IL,CHICAGO,140110,Arthur High School,ARTHUR,50,50,f,reject,f
00342146,TRINITY HIGH SCHOOL,IL,CHICAGO,143650,trinity high school,RIVER FOREST,100,100,f,auto_accept,f
A2101701,UNITY CHRISTIAN ACADEMY,IL,SOUTH HOLLAND,143211,christian heritage academy,NORTHFIELD,85,81.63265306122449,f,review,t
A0700871,VALOR JR SR HIGH SCHOOL,IL,FLANAGAN,141970,aquin cntrl catholic jr-sr hs,FREEPORT,85,55.73770491803278,f,reject,f
A1501655,WOLCOTT SCHOOL,IL,CHICAGO,141850,roycemore school,EVANSTON,66.66666666666666,40,f,reject,f
00342623,WOODLANDS ACADEMY OF THE SACRED HEART,IL,LAKE FOREST,140111,epic academy,CHICAGO,73.6842105263158,40.816326530612244,f,reject,f
A1992195,YESHIVA GEDOLA OF THE MIDWEST/YESHIVA EITZ CHAIM,IL,CHICAGO,142735,Midwest Central High School,MANITO,50.74626865671642,42.666666666666664,f,reject,f
A2400073,YESHIVAS KESSER YONAH,IL,CHICAGO,140097,John Hersey High School,ARLINGTON HEIGHTS,45.45454545454545,45.45454545454546,f,reject,f
BB060784,YESHIVAS MEOR HATORAH OF CHICAGO,IL,CHICAGO,140935,latin school of chicago,CHICAGO,60.60606060606061,58.18181818181818,t,reject,f
