nces_id_12,calculus_offered,advmath_offered,chemistry_offered,physics_offered,stem_advanced_offered
010039000164,0.0,0.0,1.0,0.0,1.0
010039000165,0.0,1.0,1.0,0.0,2.0
010039000174,,,,,
010039000175,,,,,
010039000176,0.0,1.0,1.0,1.0,3.0
010039000179,,,,,
010039000184,,,,,
010039000187,,,,,
010039000190,,,,,
010039000191,,,,,
010039000192,0.0,1.0,1.0,1.0,3.0
010039000196,,,,,
010039000198,0.0,1.0,1.0,0.0,2.0
010039000201,,,,,
010039001421,,,,,
010039001446,,,,,
010039001468,0.0,1.0,1.0,0.0,2.0
010039001484,,,,,
010039001762,,,,,
010039001823,,,,,
010039001878,,,,,
010039002185,,,,,
010039002187,,,,,
010039002204,,,,,
010039002206,,,,,
010039002354,,,,,
010039002489,,,,,
010042000101,,,,,
010042000203,0.0,1.0,1.0,0.0,2.0
010042000205,,,,,
010042000206,0.0,1.0,1.0,0.0,2.0
010042000207,,,,,
010042000208,0.0,1.0,1.0,0.0,2.0
010042000209,0.0,1.0,1.0,0.0,2.0
010042000210,0.0,1.0,1.0,0.0,2.0
010042000211,0.0,1.0,1.0,1.0,3.0
010042000213,0.0,1.0,1.0,0.0,2.0
010042000670,0.0,0.0,0.0,0.0,0.0
010042000676,,,,,
010042001427,,,,,
010042001476,,,,,
010042001481,,,,,
010042001870,,,,,
010045000214,,,,,
010045000215,,,,,
010045000216,1.0,1.0,1.0,1.0,4.0
010048000218,0.0,0.0,0.0,0.0,0.0
010048000221,,,,,
010048000222,,,,,
010048000688,0.0,0.0,0.0,0.0,0.0
010051000226,0.0,0.0,1.0,0.0,1.0
010051000228,,,,,
010051000229,0.0,1.0,1.0,0.0,2.0
010051000231,,,,,
010051001482,,,,,
010051002144,0.0,0.0,0.0,0.0,0.0
010054000232,0.0,1.0,1.0,0.0,2.0
010054000240,0.0,1.0,1.0,1.0,3.0
010054000242,,,,,
010054000243,0.0,1.0,1.0,1.0,3.0
010054000244,,,,,
010054000246,,,,,
010054000247,0.0,1.0,1.0,1.0,3.0
010054000249,,,,,
010054000250,0.0,1.0,1.0,1.0,3.0
010054001428,,,,,
010054001429,,,,,
010054001430,,,,,
010054001488,0.0,1.0,1.0,1.0,3.0
010054001489,0.0,1.0,0.0,0.0,1.0
010054001747,,,,,
010054001884,,,,,
010054002429,,,,,
010060000256,,,,,
010060000257,,,,,
010060000259,,,,,
010060000260,,,,,
010060000263,0.0,1.0,1.0,0.0,2.0
010060000264,,,,,
010060000268,,,,,
010060000269,,,,,
010060000271,1.0,1.0,1.0,1.0,4.0
010060000272,,,,,
010060002515,0.0,1.0,1.0,0.0,2.0
010063000274,0.0,1.0,1.0,1.0,3.0
010063000275,,,,,
010063000276,,,,,
010063000278,1.0,1.0,1.0,0.0,3.0
010063000279,0.0,1.0,1.0,0.0,2.0
010063000282,0.0,1.0,0.0,0.0,1.0
010063000283,0.0,1.0,1.0,1.0,3.0
010066000261,0.0,1.0,1.0,1.0,3.0
010066000262,0.0,1.0,1.0,1.0,3.0
010066000265,0.0,1.0,1.0,1.0,3.0
010066000270,1.0,1.0,1.0,1.0,4.0
010066000286,,,,,
010066000287,,,,,
010066000288,0.0,1.0,0.0,0.0,1.0
010066000745,,,,,
010066001431,,,,,
010066001491,1.0,1.0,1.0,1.0,4.0
010066001657,,,,,
010066002437,,,,,
010069000182,,,,,
010069000291,1.0,1.0,1.0,1.0,4.0
010069000297,1.0,1.0,1.0,1.0,4.0
010069001561,,,,,
010072000298,1.0,1.0,1.0,0.0,3.0
010072000302,,,,,
010072000304,,,,,
010072000305,,,,,
010072000306,,,,,
010072001450,,,,,
010072001493,1.0,1.0,1.0,1.0,4.0
010075000307,,,,,
010075000312,,,,,
010075002205,,,,,
010075002210,0.0,1.0,1.0,1.0,3.0
010078000317,,,,,
010078000318,1.0,0.0,1.0,1.0,3.0
010078000319,,,,,
010078000320,,,,,
010078000321,0.0,1.0,1.0,0.0,2.0
010078001671,,,,,
010078001726,,,,,
010081000323,0.0,1.0,1.0,1.0,3.0
010081000327,0.0,1.0,1.0,1.0,3.0
010081001494,0.0,1.0,1.0,1.0,3.0
010081001748,,,,,
010084000331,,,,,
010084000333,0.0,1.0,1.0,0.0,2.0
010084000334,0.0,0.0,1.0,0.0,1.0
010084000335,0.0,0.0,1.0,1.0,2.0
010084000336,,,,,
010084000338,,,,,
010084000341,,,,,
010084001658,,,,,
010084099999,0.0,0.0,1.0,0.0,1.0
