source_id,source_name,state,source_city,CEEB,nu_name,nu_city,name_score_set,name_score_sort,city_match,tier,needs_review
60651,North Woods International,,,7113,International C,NAPLES,92.85714285714286,65,f,review,t
2139,Northcoast Preparatory and Performing Arts Academy,,,311384,Academy For Performing Arts,SCOTCH PLAINS,92,67.53246753246754,f,review,t
2299,Northeast High School,,,060646,DSST Elevate Northeast HS,DENVER,100,76.36363636363637,f,review,t
3116,Northeast Middle School,,,393407,Northeast High School,PHILADELPHIA,86.48648648648648,81.81818181818181,f,review,t
6225,Northern Heights Elementary,,,170045,Northern Heights High School,ALLEN,74.4186046511628,58.18181818181818,f,reject,f
60312,Northern Middle School,,,290021,I-School,INCLINE VLG,85.71428571428571,53.333333333333336,f,reject,f
51702,Northfield High School,,,060014,Northfield High School,DENVER,100,100,f,review,f
1404,Northport High School,,,480800,Northport High School,NORTHPORT,100,100,f,review,f
49113,Northville High School,,,232835,Northville High School,NORTHVILLE,100,100,f,review,f
2026,Northwest Jackson IB Middle School,,,481127,Northwest School The,SEATTLE,88.88888888888889,59.25925925925925,f,reject,f
64348,Northwest Middle School,,,394550,Northwest Area Sr HS & Middle,SHICKSHINNY,100,73.01587301587303,f,review,t
49117,Northwood Elementary School,,,332760,Northwood School,LAKE PLACID,100,74.4186046511628,f,review,t
3460,Notre Dame Academy,,,222150,Academy Of Notre Dame,TYNGSBORO,100,92.3076923076923,f,review,f
4884,Notre Dame Academy,,,222150,Academy Of Notre Dame,TYNGSBORO,100,92.3076923076923,f,review,f
2940,Notre Dame de la Baie Academy,,,500800,Notre Dame Academy,GREEN BAY,100,76.59574468085107,f,review,t
60807,Notre Dame High School,,,361045,Mount Notre Dame High School,CINCINNATI,100,93.61702127659575,f,review,f
62903,Notre Dame Prep of Sacred Heart University,,,3780,Sacred Heart University,FAIRFIELD,100,70.76923076923076,f,review,t
3350,Notre Dame Preparatory - A Catholic and Marist Community,,,233040,Notre Dame Preparatory,PONTIAC,100,57.89473684210527,f,reject,f
3976,Novi High School,,,232843,Novi High School,NOVI,100,100,f,review,f
2239,O W Holmes Middle School,,,290021,I-School,INCLINE VLG,85.71428571428571,50,f,reject,f
6610,Oak Forest Elementary,,,190077,Oak Forest Academy,AMITE,71.7948717948718,71.7948717948718,f,reject,f
60422,Oak Grove Middle School,,,070365,Grove School,MADISON,100,68.57142857142857,f,review,t
3332,Oakland High School,,,054463,East Oakland Ldrshp Academy HS,OAKLAND,100,65.51724137931035,f,review,t
2944,Oakmont High School,,,221958,Oakmont Regional High School,ASHBURNHAM,100,80.85106382978724,f,review,t
6005,Oakwood Middle School,,,052146,Oakwood School,NORTH HOLLYWOOD,100,80,f,review,t
4112,Oberlin Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,72.34042553191489,f,review,t
3977,Oberlin High School,,,192275,Oberlin High School,OBERLIN,100,100,f,review,f
49407,Ocean Avenue Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,65.38461538461539,f,review,t
8011,Ocean Knoll Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,66.66666666666667,f,review,t
3978,Ocean Springs High School,,,252205,Ocean Springs High School,OCEAN SPRINGS,100,100,f,review,f
879,Ocean View High School,,,051224,Ocean View High School,HUNTINGTON BEACH,100,100,f,review,f
2321,Oconomowoc High School,,,501680,Oconomowoc High School,OCONOMOWOC,100,100,f,review,f
2300,Odessa High School,,,080018,Odessa High School,TOWNSEND,100,100,f,review,f
6994,Ogden High School,,,450255,Ogden Senior High School,OGDEN,100,82.92682926829268,f,review,t
2322,Old Mill High School,,,143708,Mill School,ROCKFORD,100,70.96774193548387,f,review,t
3620,Old Mill Middle School North,,,143708,Mill School,ROCKFORD,100,56.41025641025641,f,reject,f
52370,Olson Middle School,,,290021,I-School,INCLINE VLG,85.71428571428571,59.25925925925925,f,reject,f
6312,Omaha Central High School,,,111960,Central High School,MACON,100,86.36363636363636,f,review,f
4841,Onaway Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,73.91304347826086,f,review,t
52463,Ophir Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,75.55555555555556,f,review,t
51895,Orangewood Elementary,,,051031,Orangewood Academy,GARDEN GROVE,71.7948717948718,71.7948717948718,f,reject,f
49116,Oregon Trail Academy,,,384860,Oregon Trail Academy,BORING,100,100,f,review,f
50870,Oscar DePriest Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,62.96296296296296,f,reject,f
4207,Oscar F. Mayer Elementary School,,,230288,Webb Elementary School,FERNDALE,87.17948717948718,64.15094339622642,f,reject,f
1432,Oscar F. Smith High School,,,334047,Smith School,NEW YORK,100,64.86486486486487,f,reject,f
843,Our Lady of Good Counsel High School,,,140845,Good Counsel HS,CHICAGO,100,80,f,review,t
61303,Our World Neighborhood Charter School,,,030794,A+ Charter School,MARICOPA,93.33333333333333,52.83018867924528,f,reject,f
61304,Our World Neighborhood Charter School 2,,,030794,A+ Charter School,MARICOPA,93.33333333333333,54.54545454545454,f,reject,f
