,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
latitude,0.4743410813602379,-0.48506144347421276,-0.2131659075551466,0.3286562981750587,0.36077159470766884,0.4403674350392623,-0.2371129432108177,0.07719519988769041
longitude,0.22350922936502468,0.052305488795738805,0.418467325016645,-0.00479662564908684,-0.3756428530785414,0.6119018720567492,0.5032601773884336,-0.05803094231277458
ap,0.21226022701412336,0.682843338834468,-0.10504169526452778,-0.3692116728496091,0.18432064754901076,0.37907364276178357,-0.4045309620361434,0.0018238775705788134
crdc_coursework,0.20443413882443331,0.3748341012770937,-0.08145218218989457,0.2979835897868312,0.5650493115850802,-0.18919319326612002,0.568391606718721,-0.2100799708393675
test_participation,-0.04743196714673852,0.34590646666776953,0.18042772803452797,0.7931970539696236,-0.28339569198421233,-0.01752799061736384,-0.3577451814068587,-0.08821127949473699
grad_rate,0.06259717903314807,0.16352479230882375,-0.036528970811818745,0.11192542955761477,-0.01599697282885493,-0.05924030748492326,0.15774433974920785,0.9627206106102186
funding,0.6552148762464003,-0.05001697390729595,0.5409335281031549,-0.15849273993777171,-0.015006437680570094,-0.4665343968245811,-0.18042587653043085,0.005450166359963152
poverty,-0.4502462764407663,-0.07943905818092917,0.6597572018884392,0.006460192014708983,0.5428510506581711,0.17518773418535954,-0.13555050615240805,0.10906182620040529
