ceeb,school_name,state,sector,rigor_tier_label,rigor_score,ap_score_nu,ap_tests_offered,ap_efficiency,ap_efficiency_quadrant,stem_advanced_offered,calculus_offered,physics_offered,grad_rate_2021
233043,Auburn Hills Christian School,,private,,,,,,,,,,
233044,Canton High School,MI,public,Demanding,0.2121051488690111,3.62,25.0,0.5363623800348694,Broad & high-performing,3.0,0.0,1.0,95.0
233045,Salem High School,MI,public,Demanding,0.161405459497044,3.66,28.0,0.22918517824561135,Broad & high-performing,3.0,0.0,1.0,97.0
233048,Pontiac High School,MI,public,Below Average,-0.6296074615032049,1.33,10.0,-1.340263144545586,"Limited (few offered, low scores)",3.0,1.0,1.0,62.0
233049,Oakland Christian School,,private,Average,-0.2043740601958959,2.57,19.0,-0.43308043529615703,Broad but underperforming,,,,
233063,Waterford Mott High School,MI,public,Average,-0.2560897568782739,2.46,19.0,-0.6126863054817749,Broad but underperforming,4.0,1.0,1.0,83.0
233069,Portage Community High School,MI,public,Average,-0.1291729343632248,,,,,2.0,0.0,1.0,34.5
233070,Portage Central High School,MI,public,Average,-0.347341356299161,2.97,17.0,0.4683574381318071,"Selective & effective (few offered, high scores)",4.0,1.0,1.0,96.0
233072,Portage Northern High School,MI,public,Average,-0.3098457827496276,3.1,17.0,0.6806189210784466,"Selective & effective (few offered, high scores)",4.0,1.0,1.0,95.0
233083,Port Huron High School,MI,public,Average,-0.0523841915593504,2.37,17.0,-0.5113109446988374,"Limited (few offered, low scores)",3.0,1.0,1.0,84.0
233084,Port Huron Northern High School,MI,public,Demanding,0.4612940866784228,2.77,23.0,-0.6031755441010098,Broad & high-performing,3.0,1.0,1.0,93.0
233087,New Life Christian Academy,,private,,,,,,,,,,
233095,Portland High School,MI,public,Average,-0.5132313240839301,3.01,11.0,1.2786455182764513,"Selective & effective (few offered, high scores)",1.0,0.0,1.0,77.0
233100,Saint Patricks High School,,private,,,,,,,,,,
233102,Posen Consolidated High School,MI,public,Demanding,0.34958909758412,,,,,3.0,0.0,1.0,75.0
233105,Potterville High School,MI,public,Average,-0.0642813693602757,,,,,3.0,1.0,1.0,87.0
233108,North Central Area Senior High School,MI,public,Demanding,0.1211087464879408,,,,,3.0,1.0,1.0,90.0
233109,Victory Baptist Academy,,private,,,,,,,,,,
233111,Branch County Christian School,,private,,,,,,,,,,
233115,Quincy High School,MI,public,Demanding,0.0098281738310726,,,,,3.0,1.0,0.0,97.5
233130,Ravenna High School,MI,public,Average,-0.1755781305100905,,,,,3.0,0.0,1.0,92.0
233132,Austin Catholic High School,,private,Demanding,0.146706788364006,3.29,7.0,2.2324753333458203,"Selective & effective (few offered, high scores)",,,,
233135,Reading High School,MI,public,Very Demanding,1.297136950643572,,,,,2.0,0.0,0.0,84.5
233144,Chase Baptist Academy,,private,,,,,,,,,,
233145,Reed City High School,MI,public,Average,-0.2548650146401784,,,,,2.0,0.0,0.0,87.0
233146,Heritage Christian Academy,,private,,,,,,,,,,
233150,Reese High School,MI,public,Average,-0.1811093882919724,,,,,4.0,1.0,1.0,92.0
233155,Chippewa Hills High School,MI,public,Below Average,-0.6618773834196546,,,,,1.0,0.0,0.0,87.0
233175,Richmond Community High School,MI,public,Average,-0.451785775685758,2.6,11.0,0.6092054566755114,"Limited (few offered, low scores)",3.0,0.0,1.0,87.0
233179,Saint Josephs Academy,,private,,,,,,,,,,
233192,River Rouge High School,MI,public,Very Demanding,0.6910783955590748,,,,,4.0,1.0,1.0,87.0
233193,Gabriel Richard High School,,private,Average,-0.0089753013013443,3.06,15.0,0.8636333137639375,"Selective & effective (few offered, high scores)",,,,
233194,Rochester Adams High School,MI,public,Very Demanding,0.777733386197508,3.3,30.0,-0.6069414696603097,Broad & high-performing,4.0,1.0,1.0,98.0
233195,Rochester High School,MI,public,Demanding,0.3780983593185536,3.0,32.0,-1.3451012792831656,Broad & high-performing,4.0,1.0,1.0,95.0
233196,Bloomfield Christian School,,private,,,,,,,,,,
233197,Rochester Hills Christian Sch,,private,,,,,,,,,,
233199,Montrose Alternative Education Center,MI,public,Below Average,-0.8575054371273119,,,,,3.0,0.0,1.0,24.5
233201,Stoney Creek High School,MI,public,Demanding,0.3239724043841737,3.13,31.0,-1.008676987232759,Broad & high-performing,4.0,1.0,1.0,98.0
233202,Algoma Christian School,,private,,,,,,,,,,
233204,Oakfield Baptist Academy,,private,,,,,,,,,,
233205,Rockford High School,MI,public,Demanding,0.1326109532724297,3.88,23.0,1.209210964135682,Broad & high-performing,4.0,1.0,1.0,96.0
233215,Rogers City High School,MI,public,Average,-0.3258758170422315,,,,,2.0,0.0,0.0,87.0
233219,Maranatha Christian Academy,,private,,,,,,,,,,
233220,Romeo High School,MI,public,Average,-0.2049312312468392,2.89,20.0,-0.034753440223579846,Broad & high-performing,4.0,1.0,1.0,93.0
233224,Romulus Christian Academy,,private,,,,,,,,,,
233225,Romulus Senior High School,MI,public,Average,-0.2684732257579251,2.12,8.0,0.19795917772229665,"Limited (few offered, low scores)",3.0,1.0,0.0,67.0
233227,Summit Academy North High School,MI,public,Demanding,0.0207566591663843,,,,,4.0,1.0,1.0,92.0
233230,Roscommon High School,MI,public,Average,-0.1600649230332276,2.92,10.0,1.2558580699556219,"Selective & effective (few offered, high scores)",4.0,1.0,1.0,87.0
233231,Immanuel Christian School,,private,,,,,,,,,,
233242,Faith Christian School,,private,,,,,,,,,,
233245,Roseville High School,MI,public,Average,-0.4746673908946802,1.92,12.0,-0.6252481863029861,"Limited (few offered, low scores)",3.0,1.0,0.0,87.0
233250,SHRINE CATHOLIC HIGH SCHOOL,MI,private,Demanding,0.2924950826197237,2.61,11.0,0.6255332630560219,"Limited (few offered, low scores)",,,,
233258,Royal Oak High School,MI,public,Demanding,0.1279914959805755,2.82,19.0,-0.024885275783388505,Broad & high-performing,4.0,1.0,1.0,96.0
233265,Brightmont Academy-Northville,,private,,,,,,,,,,
233280,Saginaw United High School,MI,public,Average,-0.5275030173207427,,,,,2.0,0.0,0.0,87.0
233282,Saginaw Arts and Sciences Academy,MI,public,Demanding,0.4954919410698311,2.96,17.0,0.452029631751296,"Selective & effective (few offered, high scores)",4.0,1.0,1.0,95.0
233284,Community Baptist Christian Sc,,private,,,,,,,,,,
233286,Heritage High School,MI,public,Demanding,0.0551264896339832,2.78,18.0,0.033966307798335434,Broad & high-performing,3.0,1.0,1.0,87.0
233289,Carrollton High School,MI,public,Average,-0.1605360011361176,,,,,3.0,0.0,1.0,97.5
233297,Grace Christian School,,private,,,,,,,,,,
233300,Michigan Lutheran Seminary,,private,Demanding,0.1645689616601134,2.07,2.0,0.8612970004423446,"Limited (few offered, low scores)",,,,
233309,Mackinaw High School,MI,public,Average,-0.2358809545396975,,,,,1.0,0.0,0.0,24.5
233311,Valley Lutheran High School,,private,Average,-0.0536583467011356,3.26,15.0,1.1901894413741518,"Selective & effective (few offered, high scores)",,,,
233316,Sheridan Road Christian Sch,,private,,,,,,,,,,
233327,Shield Of Faith Christian Acad,,private,,,,,,,,,,
233330,Nouvel Catholic Central HS,,private,Demanding,0.2794248152166994,2.7,15.0,0.27583228406555105,"Limited (few offered, low scores)",,,,
233333,Swan Valley High School,MI,public,Average,-0.0869418129594784,2.68,5.0,1.4848047623421992,"Limited (few offered, low scores)",4.0,1.0,1.0,92.0
233335,St Charles Community MiddleHigh School,MI,public,Demanding,0.1885249012967669,,,,,3.0,0.0,1.0,95.0
233340,St Clair High School,MI,public,Average,-0.0707197854397537,2.45,16.0,-0.25652568455098446,"Limited (few offered, low scores)",4.0,1.0,1.0,92.0
233343,Faith Community Christian Acad,,private,,,,,,,,,,
233345,Lake Shore High School,MI,public,Average,-0.3598427259373669,2.59,19.0,-0.4004248225351355,Broad but underperforming,3.0,1.0,1.0,88.0
233350,Lakeview High School,MI,public,Average,-0.3136057622683008,3.04,15.0,0.830977701002916,"Selective & effective (few offered, high scores)",4.0,1.0,1.0,95.0
233355,North Lake High School,MI,public,Average,-0.0518980986706851,,,,,2.0,0.0,1.0,44.5
233360,South Lake High School,MI,public,Below Average,-0.5916950070669286,1.91,11.0,-0.5174131835797299,"Limited (few offered, low scores)",3.0,0.0,1.0,97.5
233365,LaSalle High School,MI,public,Very Demanding,1.406422428965508,,,,,2.0,0.0,0.0,84.5
233373,Grove Christian School,,private,,,,,,,,,,
233375,St Johns High School,MI,public,Average,-0.363015391088249,3.03,13.0,1.0629755128299387,"Selective & effective (few offered, high scores)",2.0,0.0,1.0,94.0
233379,Turning Point Youth Center,,private,,,,,,,,,,
233380,Lake Michigan Catholic HS,,private,Demanding,0.0203063352044235,2.63,13.0,0.40986325760950937,"Limited (few offered, low scores)",,,,
233382,Michigan Lutheran High School,,private,Below Average,-1.057442584560211,,,,,,,,
233385,St Joseph High School,MI,public,Demanding,0.1341938979042313,3.43,25.0,0.22613405880516546,Broad & high-performing,4.0,1.0,1.0,98.0
233390,St Louis High School,MI,public,Average,-0.3388760666827808,2.67,4.0,1.5926397650654551,"Limited (few offered, low scores)",2.0,0.0,0.0,82.0
233394,Washtenaw Christian Academy,,private,,,,,,,,,,
233395,Saline High School,MI,public,Demanding,0.5009301154622375,3.75,24.0,0.8727866720852757,Broad & high-performing,4.0,1.0,1.0,97.0
233400,Sand Creek High School,MI,public,Average,-0.0107276564709212,,,,,4.0,1.0,1.0,87.0
233410,Sandusky JuniorSenior High School,MI,public,Average,-0.3406174762075047,2.64,3.0,1.6678191550276902,"Limited (few offered, low scores)",3.0,1.0,1.0,87.0
233415,Saranac JrSr High School,MI,public,Average,-0.2626557525801031,,,,,2.0,0.0,1.0,92.0
233420,Saugatuck High School,MI,public,Average,-0.2368556840253206,3.43,13.0,1.716087768050369,"Selective & effective (few offered, high scores)",3.0,1.0,1.0,95.0
233424,Community Baptist Academy,,private,,,,,,,,,,
233429,Malcolm High School,MI,public,Demanding,0.2327622115565064,,,,,1.0,0.0,0.0,49.5
233430,Sault Area High School,MI,public,Average,-0.0422167952504143,2.57,8.0,0.9327104648452796,"Limited (few offered, low scores)",3.0,1.0,1.0,92.0
233435,Schoolcraft High School,MI,public,Demanding,0.1335262366789698,,,,,4.0,1.0,1.0,92.0
233439,Prairie Baptist School,,private,,,,,,,,,,
233440,Mason County Central HS,MI,public,Average,-0.1608318039714106,,,,,1.0,0.0,0.0,87.0
233450,Shelby High School,MI,public,Average,-0.5643756869161616,2.56,3.0,1.537196703983604,"Limited (few offered, low scores)",3.0,0.0,1.0,82.0
233455,Shepherd High School,MI,public,Demanding,0.1554996177224064,,,,,4.0,1.0,1.0,97.5
233456,Detroit Leadership Academy High School,MI,public,Most Demanding,9.24167073912704,,,,,2.0,0.0,1.0,82.0
233459,Southfield Christian HS,,private,Average,-0.4500600881733353,2.75,16.0,0.2333085068643375,"Limited (few offered, low scores)",,,,
233460,Novi Christian Academy,,private,,,,,,,,,,
233461,Farber Hebrew Day School,,private,Demanding,0.5302004747197147,3.0,10.0,1.386480520999708,"Selective & effective (few offered, high scores)",,,,
233462,Aquinas HS,,private,,,,,,,,,,
233464,Southgate Anderson High School,MI,public,Average,-0.2854574796109965,2.84,16.0,0.3802587642889339,"Selective & effective (few offered, high scores)",4.0,1.0,1.0,85.0
233465,South Haven High School,MI,public,Average,-0.1592710700389338,2.66,4.0,1.5763119586849448,"Limited (few offered, low scores)",4.0,1.0,1.0,87.0
233470,South Lyon High School,MI,public,Average,-0.0234480705150392,3.33,15.0,1.3044840860377276,"Selective & effective (few offered, high scores)",4.0,1.0,1.0,92.0
233475,Sparta Senior High School,MI,public,Average,-0.2915045685153511,2.54,16.0,-0.10957542712638801,"Limited (few offered, low scores)",3.0,1.0,0.0,87.0
233483,Spring Lake High School,MI,public,Demanding,0.2248936915801149,3.73,21.0,1.2126194866355553,Broad & high-performing,4.0,1.0,1.0,99.5
233485,Springport High School,MI,public,Average,-0.0491290303053331,,,,,3.0,0.0,1.0,95.0
