destinationtable,rcdts,level,school_name,district,city,county,district_type,school_type,grades_served,summative_designation,summative_designation_student_group_s,title_i_status,state_senate_district,state_house_district,ebf_tier,pct_ebf_capacity_to_meet_expectations,count_school_enrollment,site_level_per_pupil_expenditures_federal,site_level_per_pupil_expenditures_state_local,site_level_per_pupil_expenditures_subtotal,district_centralized_per_pupil_expenditure_federal,district_centralized_per_pupil_expenditure_state_local,district_centralized_per_pupil_expenditure_subtotal,total_per_pupil_expenditures_federal,total_per_pupil_expenditures_state_local,total_per_pupil_expenditures_subtotal,exclusions,total_expenditures_sber,local_property_taxes,pct_local_property_taxes,other_local_funding,pct_other_local_funding,evidence_based_funding,pct_evidence_based_funding,other_state_funding,pct_other_state_funding,federal_funding,pct_federal_funding,total_revenue_source,eav_per_pupil,total_school_tax_rate_per_100,instructional_expenditure_per_pupil,operating_expenditures,instruction,pct_instruction,general_admin,pct_general_admin,supporting_services,pct_supporting_services,other_expenditures,pct_other_expenditures,education_fund,pct_education_fund,operations_b_m,pct_operations_b_m,transportation,pct_transportation,debt_service,pct_debt_service,tort,pct_tort,munic_ret_soc_security,pct_munic_ret_soc_security,fire_prev_safety,pct_fire_prev_safety,capital_projects_fund,pct_capital_projects_fund,total_expenditures_afr,per_pupil_pension_obligation_amount,total_pension_obligation_amount
Finance1,07-016-2060-17-0002,School,Bloom Trail High School,Bloom Twp HSD 206,Chicago Heights,Cook,High School District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,15,29,,,1215.5,2695.13,16835.49,19530.62,90.03,3633.82,3723.86,2785.16,20469.31,23254.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,19-022-0130-02-2002,School,Dujardin Elementary School,Bloomingdale SD 13,Bloomingdale,Dupage,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Targeted,24,48,,,345,0,8179.02,8179.02,392.88,6517.21,6910.09,392.88,14696.22,15089.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,19-022-0130-02-2004,School,Erickson Elementary School,Bloomingdale SD 13,Bloomingdale,Dupage,Elementary District,Elementary School,PK - 5,Exemplary,All Students,Title 1 Ineligible Due to Ranking,24,48,,,447.02,43.32,8145.9,8189.21,362.1,7024.66,7386.76,405.42,15170.56,15575.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,19-022-0130-02-1001,School,Westfield Middle School,Bloomingdale SD 13,Bloomingdale,Dupage,Elementary District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Targeted,24,48,,,494,87.71,10323.05,10410.76,344.2,6509.97,6854.18,431.92,16833.02,17264.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,17-064-0870-25-2003,School,Bent Elem School,Bloomington SD 87,Bloomington,McLean,Unit District,Elementary School,K - 5,Targeted,Children with Disabilities,Title 1 Schoolwide,46,91,,,377.5,2174.29,10033.58,12207.88,956.48,5680.02,6636.5,3130.78,15713.6,18844.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,17-064-0870-25-0001,School,Bloomington High School,Bloomington SD 87,Bloomington,McLean,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,46,91,,,1332.97,1066.41,9437.87,10504.27,956.48,5680.02,6636.5,2022.89,15117.88,17140.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,17-064-0870-25-1002,School,Bloomington Jr High School,Bloomington SD 87,Bloomington,McLean,Unit District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Schoolwide,46,91,,,1030.47,1526.11,9619.08,11145.19,956.48,5680.02,6636.5,2482.6,15299.1,17781.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,17-064-0870-25-2006,School,Irving Elementary School,Bloomington SD 87,Bloomington,McLean,Unit District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,46,91,,,297.07,2830.24,8447.91,11278.15,956.48,5680.02,6636.5,3786.72,14127.93,17914.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,17-064-0870-25-2009,School,Oakland Elementary School,Bloomington SD 87,Bloomington,McLean,Unit District,Elementary School,K - 5,Commendable,All Students,Title 1 Eligible but Not Served,46,91,,,435.64,1101.41,6811.22,7912.63,956.48,5680.02,6636.5,2057.89,12491.24,14549.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,17-064-0870-25-3001,School,Sarah A Raymond Sch of Early Educ,Bloomington SD 87,Bloomington,McLean,Unit District,Special School,PK,,,Title 1 Eligible but Not Served,46,91,,,138.32,1666.06,15952.43,17618.5,956.48,5680.02,6636.5,2622.55,21632.45,24255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
