school_id,our_name,our_city,state,sector,bob_ceeb,bob_name,bob_city,match_rule,score,confidence
4210027,Penn Wood 9th Grade Academy,Yeadon,PA,public,392160,Penn Wood High School,LANSDOWNE,subset_multi_token,90.0,review
4207452,Penn Wood HS,Lansdowne,PA,public,392160,Penn Wood High School,Lansdowne,ceeb_exact,100.0,high
4201942,Penncrest HS,Media,PA,public,392287,Penncrest High School,Media,ceeb_exact,100.0,high
4201100,Pennridge HS,Perkasie,PA,public,393195,Pennridge High School,Perkasie,ceeb_exact,100.0,high
4202345,Penns Manor Area JSHS,Clymer,PA,public,390720,Penns Manor Area High School,Clymer,ceeb_exact,100.0,high
4206231,Penns Valley Area JSHS,Spring Mills,PA,public,394675,Penns Valley Area Jr-Sr HS,SPRING MILLS,exact_normalized_name,99.0,high
4204682,Pennsbury HS,Fairless Hills,PA,public,395415,Pennsbury High School,Fairless Hls,ceeb_exact,100.0,high
4202649,Pequea Valley HS,Kinzers,PA,public,392050,Pequea Valley High School,Kinzers,ceeb_exact,100.0,high
4203328,Perkiomen Valley HS,Collegeville,PA,public,390760,Perkiomen Valley High School,Collegeville,ceeb_exact,100.0,high
4200738,Perseus House CS of Excellence,Erie,PA,public,,,,unmatched,,
4205083,Peters Twp HS,McMurray,PA,public,390535,Peters Township High School,Mc Murray,ceeb_exact,100.0,high
4200678,Philadelphia Electrical & Technology CHS,Philadelphia,PA,public,,,,unmatched,,
4207603,Philadelphia Learning Academy - North,Philadelphia,PA,public,393552,Philadelphia Learning Acad N,PHILADELPHIA,subset_same_city,97.0,high
4207588,Philadelphia Learning Academy - West,Philadelphia,PA,public,393552,Philadelphia Learning Acad N,PHILADELPHIA,subset_same_city,97.0,high
4200899,Philadelphia Military Academy at Elverson,Philadelphia,PA,public,392793,Philadelphia Military Academy,PHILADELPHIA,subset_same_city,97.0,high
4201560,Philipsburg-Osceola Area HS,Philipsburg,PA,public,393575,Philipsburg-Osceola Area Sr HS,Philipsburg,ceeb_exact,100.0,high
4203410,Phoenix Academy,Lancaster,PA,public,392124,Phoenix Academy,LANCASTER,exact_normalized_name,99.0,high
4201426,Phoenixville Area HS,Phoenixville,PA,public,393580,Phoenixville Area High School,Phoenixville,ceeb_exact,100.0,high
4203910,Pine Grove Area HS,Pine Grove,PA,public,393590,Pine Grove Area High School,Pine Grove,ceeb_exact,100.0,high
4200315,Pine-Richland HS,Gibsonia,PA,public,391512,Pine-Richland High School,Gibsonia,ceeb_exact,100.0,high
4200409,Pittsburgh Allderdice HS,Pittsburgh,PA,public,393925,Taylor Allderdice High School,Pittsburgh,ceeb_exact,100.0,high
4206915,Pittsburgh Brashear HS,Pittsburgh,PA,public,393648,Brashear High School,Pittsburgh,ceeb_exact,100.0,high
4207014,Pittsburgh CAPA 6-12,Pittsburgh,PA,public,393768,Capa High School,PITTSBURGH,subset_same_city,97.0,high
4200412,Pittsburgh Carrick HS,Pittsburgh,PA,public,393650,Carrick High School,Pittsburgh,ceeb_exact,100.0,high
4207345,Pittsburgh Milliones 6-12,Pittsburgh,PA,public,,,,unmatched,,
4206995,Pittsburgh Obama 6-12,Pittsburgh,PA,public,,,,unmatched,,
4200416,Pittsburgh Perry HS,Pittsburgh,PA,public,393765,Perry High School,PITTSBURGH,subset_same_city,97.0,high
4206989,Pittsburgh Science and Technology Academy 6-12,Pittsburgh,PA,public,,,,unmatched,,
4207412,Pittsburgh Westinghouse,Pittsburgh,PA,public,,,,unmatched,,
4205058,Pittston Area SHS,Pittston,PA,public,395417,Pittston Area High School,Pittston,ceeb_exact,100.0,high
4203210,Pleasant Valley HS,Brodheadsville,PA,public,390455,Pleasant Valley High School,Brodheadsvlle,ceeb_exact,100.0,high
4200435,Plum SHS,Plum,PA,public,393772,Plum Senior High School,PITTSBURGH,exact_normalized_name,99.0,high
4203333,Plymouth-Whitemarsh SHS,Plymouth Meeting,PA,public,394040,Plymouth Whitemarsh HS,Plymouth Mtng,ceeb_exact,100.0,high
4203216,Pocono Mountain East HS,Swiftwater,PA,public,394756,Pocono Mountain East HS,SWIFTWATER,exact_normalized_name,99.0,high
4200679,Pocono Mountain West HS,Pocono Summit,PA,public,,,,unmatched,,
4203111,Port Allegany JSHS,Port Allegany,PA,public,394060,Port Allegany Junior-Senior HS,PORT ALLEGANY,exact_normalized_name,99.0,high
4201270,Portage Area JSHS,Portage,PA,public,394055,Portage Area High School,Portage,ceeb_exact,100.0,high
4203338,Pottsgrove SHS,Pottstown,PA,public,394703,Pottsgrove High School,Pottstown,ceeb_exact,100.0,high
4203348,Pottstown HS,Pottstown,PA,public,394088,Pottstown High School,Pottstown,ceeb_exact,100.0,high
4203924,Pottsville Area HS,Pottsville,PA,public,394100,Pottsville Area High School,Pottsville,ceeb_exact,100.0,high
4200391,Preparatory CS of Mathematics Science Tech and Careers,Philadelphia,PA,public,,,,unmatched,,
4200881,Price,Hummelstown,PA,public,,,,unmatched,,
4206165,Punxsutawney Area HS,Punxsutawney,PA,public,394110,Punxsutawney Area High School,Punxsutawney,ceeb_exact,100.0,high
4202350,Purchase Line JSHS,Commodore,PA,public,390780,Purchase Line Junior-Senior HS,COMMODORE,exact_normalized_name,99.0,high
4200448,Quaker Valley HS,Leetsdale,PA,public,392220,Quaker Valley High School,Leetsdale,ceeb_exact,100.0,high
4201128,Quakertown Community HS,Quakertown,PA,public,394120,Quakertown Community Senior HS,Quakertown,ceeb_exact,100.0,high
4201921,Radnor SHS,Radnor,PA,public,394133,Radnor High School,RADNOR,exact_normalized_name,99.0,high
4200826,Randolph A. Philip Area Vocational-Technical High School,Philadelphia,PA,public,,,,unmatched,,
4207048,Reading Muhlenberg Career and Technology Center,Reading,PA,public,394170,Reading High School,READING,subset_same_city,97.0,high
4200859,Reading SHS,Reading,PA,public,394170,Reading High School,READING,exact_normalized_name,99.0,high
4204704,Red Land SHS,Lewisberry,PA,public,391325,Red Land High School,Lewisberry,ceeb_exact,100.0,high
4204598,Red Lion Area SHS,Red Lion,PA,public,394190,Red Lion Area Senior HS,Red Lion,ceeb_exact,100.0,high
4201495,Redbank Valley HS,New Bethlehem,PA,public,392880,Redbank Valley Jr-Sr HS,New Bethlehem,ceeb_exact,100.0,high
4203165,Reynolds JSHS,Greenville,PA,public,391583,Reynolds High School,GREENVILLE,exact_normalized_name,99.0,high
